id,cement,slag,flyash,water,super_plast,coarse_agg,fine_agg,age,strength
S74,439,177,0,186,11.1,884.9,707.9,3,39.3
S75,389.9,189,0,145.9,22,944.7,755.8,3,40.6
S76,362.6,189,0,164.9,11.6,944.7,755.8,3,35.3
S77,337.9,189,0,174.9,9.5,944.7,755.8,3,24.1
S78,313.3,262.2,0,175.5,8.6,1046.9,611.8,7,42.8
S79,425,106.3,0,153.5,16.5,852.1,887.1,7,49.2
S80,425,106.3,0,151.4,18.6,936,803.7,7,46.8
S81,375,93.8,0,126.6,23.4,852.1,992.6,7,45.7
S82,475,118.8,0,181.1,8.9,852.1,781.5,7,55.6
S83,425,106.3,0,153.5,16.5,852.1,887.1,7,49.2
S84,388.6,97.1,0,157.9,12.1,852.1,925.7,7,34.9
S85,531.3,0,0,141.8,28.2,852.1,893.7,7,46.9
S86,425,106.3,0,153.5,16.5,852.1,887.1,7,49.2
S87,323.7,282.8,0,183.8,10.3,942.7,659.9,7,49.8
S88,379.5,151.2,0,153.9,15.9,1134.3,605,7,47.1
S89,362.6,189,0,164.9,11.6,944.7,755.8,7,55.9
S90,286.3,200.9,0,144.7,11.2,1004.6,803.7,7,38
S91,439,177,0,186,11.1,884.9,707.9,7,56.1
S92,389.9,189,0,145.9,22,944.7,755.8,7,59.09
S93,362.6,189,0,164.9,11.6,944.7,755.8,7,22.9
S94,337.9,189,0,174.9,9.5,944.7,755.8,7,35.1
S95,374,189.2,0,170.1,10.1,926.1,756.7,28,61.09
S96,313.3,262.2,0,175.5,8.6,1046.9,611.8,28,59.8
S97,425,106.3,0,153.5,16.5,852.1,887.1,28,60.29
S98,425,106.3,0,151.4,18.6,936,803.7,28,61.8
S99,375,93.8,0,126.6,23.4,852.1,992.6,28,56.7
S100,475,118.8,0,181.1,8.9,852.1,781.5,28,68.3
S101,469,117.2,0,137.8,32.2,852.1,840.5,28,66.9
S102,425,106.3,0,153.5,16.5,852.1,887.1,28,60.29
S103,425,106.3,0,153.5,16.5,852.1,887.1,28,60.29
S104,401.8,94.7,0,147.4,11.4,946.8,852.1,28,68.5
S105,362.6,189,0,164.9,11.6,944.7,755.8,28,71.3
S106,323.7,282.8,0,183.8,10.3,942.7,659.9,28,74.7
S107,379.5,151.2,0,153.9,15.9,1134.3,605,28,52.2
S108,362.6,189,0,164.9,11.6,944.7,755.8,28,71.3
S109,286.3,200.9,0,144.7,11.2,1004.6,803.7,28,67.7
S110,362.6,189,0,164.9,11.6,944.7,755.8,28,71.3
S111,439,177,0,186,11.1,884.9,707.9,28,66
S112,389.9,189,0,145.9,22,944.7,755.8,28,74.5
S113,362.6,189,0,164.9,11.6,944.7,755.8,28,71.3
S114,337.9,189,0,174.9,9.5,944.7,755.8,28,49.9
S115,374,189.2,0,170.1,10.1,926.1,756.7,56,63.4
S116,313.3,262.2,0,175.5,8.6,1046.9,611.8,56,64.9
S117,425,106.3,0,153.5,16.5,852.1,887.1,56,64.3
S118,425,106.3,0,151.4,18.6,936,803.7,56,64.9
S119,375,93.8,0,126.6,23.4,852.1,992.6,56,60.2
S120,388.6,97.1,0,157.9,12.1,852.1,925.7,56,55.2
S121,531.3,0,0,141.8,28.2,852.1,893.7,56,58.8
S122,425,106.3,0,153.5,16.5,852.1,887.1,56,64.3
S123,318.8,212.5,0,155.7,14.3,852.1,880.4,56,66.1
S124,401.8,94.7,0,147.4,11.4,946.8,852.1,56,73.7
S125,362.6,189,0,164.9,11.6,944.7,755.8,56,77.3
S126,323.7,282.8,0,183.8,10.3,942.7,659.9,56,80.2
S127,362.6,189,0,164.9,11.6,944.7,755.8,56,77.3
S128,439,177,0,186,11.1,884.9,707.9,56,71.7
S129,389.9,189,0,145.9,22,944.7,755.8,56,79.4
S130,362.6,189,0,164.9,11.6,944.7,755.8,56,77.3
S131,337.9,189,0,174.9,9.5,944.7,755.8,56,59.89
S132,374,189.2,0,170.1,10.1,926.1,756.7,91,64.9
S133,313.3,262.2,0,175.5,8.6,1046.9,611.8,91,66.6
S134,425,106.3,0,153.5,16.5,852.1,887.1,91,65.2
S135,425,106.3,0,151.4,18.6,936,803.7,91,66.7
S136,375,93.8,0,126.6,23.4,852.1,992.6,91,62.5
S137,475,118.8,0,181.1,8.9,852.1,781.5,91,74.19
S138,469,117.2,0,137.8,32.2,852.1,840.5,91,70.7
S139,425,106.3,0,153.5,16.5,852.1,887.1,91,65.2
S140,531.3,0,0,141.8,28.2,852.1,893.7,91,59.2
S141,425,106.3,0,153.5,16.5,852.1,887.1,91,65.2
S142,318.8,212.5,0,155.7,14.3,852.1,880.4,91,68.1
S143,401.8,94.7,0,147.4,11.4,946.8,852.1,91,75.5
S144,379.5,151.2,0,153.9,15.9,1134.3,605,91,56.5
S145,362.6,189,0,164.9,11.6,944.7,755.8,91,79.3
S146,286.3,200.9,0,144.7,11.2,1004.6,803.7,91,76.8
S147,389.9,189,0,145.9,22,944.7,755.8,91,82.6
S148,362.6,189,0,164.9,11.6,944.7,755.8,91,79.3
S149,337.9,189,0,174.9,9.5,944.7,755.8,91,67.8
S150,222.4,0,96.7,189.3,4.5,967.1,870.3,3,11.58
S151,222.4,0,96.7,189.3,4.5,967.1,870.3,14,24.45
S152,222.4,0,96.7,189.3,4.5,967.1,870.3,56,29.45
S153,222.4,0,96.7,189.3,4.5,967.1,870.3,100,40.71
S154,233.8,0,94.6,197.9,4.6,947,852.2,3,10.38
S155,233.8,0,94.6,197.9,4.6,947,852.2,14,22.14
S156,233.8,0,94.6,197.9,4.6,947,852.2,28,22.84
S157,233.8,0,94.6,197.9,4.6,947,852.2,56,27.66
S158,233.8,0,94.6,197.9,4.6,947,852.2,100,34.56
S159,194.7,0,100.5,165.6,7.5,1006.4,905.9,3,12.45
S160,194.7,0,100.5,165.6,7.5,1006.4,905.9,14,24.99
S161,194.7,0,100.5,165.6,7.5,1006.4,905.9,28,25.72
S162,194.7,0,100.5,165.6,7.5,1006.4,905.9,56,33.96
S163,194.7,0,100.5,165.6,7.5,1006.4,905.9,100,37.34
S164,190.7,0,125.4,162.1,7.8,1090,804,3,15.04
S165,190.7,0,125.4,162.1,7.8,1090,804,14,21.06
S166,190.7,0,125.4,162.1,7.8,1090,804,56,35.34
S167,212.1,0,121.6,180.3,5.7,1057.6,779.3,3,12.47
S168,212.1,0,121.6,180.3,5.7,1057.6,779.3,28,24.9
S169,212.1,0,121.6,180.3,5.7,1057.6,779.3,56,34.2
S170,212.1,0,121.6,180.3,5.7,1057.6,779.3,100,39.61
S171,230,0,118.3,195.5,4.6,1029.4,758.6,3,10.03
S172,230,0,118.3,195.5,4.6,1029.4,758.6,14,20.08
S173,230,0,118.3,195.5,4.6,1029.4,758.6,28,24.48
S174,230,0,118.3,195.5,4.6,1029.4,758.6,56,31.54
S175,230,0,118.3,195.5,4.6,1029.4,758.6,100,35.34
S176,190.3,0,125.2,161.9,9.9,1088.1,802.6,3,9.45
S177,190.3,0,125.2,161.9,9.9,1088.1,802.6,14,22.72
S178,190.3,0,125.2,161.9,9.9,1088.1,802.6,28,28.47
S179,190.3,0,125.2,161.9,9.9,1088.1,802.6,56,38.56
S180,190.3,0,125.2,161.9,9.9,1088.1,802.6,100,40.39
S181,166.1,0,163.3,176.5,4.5,1058.6,780.1,3,10.76
S182,166.1,0,163.3,176.5,4.5,1058.6,780.1,14,25.48
S183,166.1,0,163.3,176.5,4.5,1058.6,780.1,28,21.54
S184,166.1,0,163.3,176.5,4.5,1058.6,780.1,56,28.63
S185,168,42.1,163.8,121.8,5.7,1058.7,780.1,3,7.75
S186,168,42.1,163.8,121.8,5.7,1058.7,780.1,14,17.82
S187,168,42.1,163.8,121.8,5.7,1058.7,780.1,28,24.24
S188,168,42.1,163.8,121.8,5.7,1058.7,780.1,56,32.85
S189,168,42.1,163.8,121.8,5.7,1058.7,780.1,100,39.23
S190,213.7,98.1,24.5,181.7,6.9,1065.8,785.4,3,18
S191,213.7,98.1,24.5,181.7,6.9,1065.8,785.4,14,30.39
S192,213.7,98.1,24.5,181.7,6.9,1065.8,785.4,28,45.71
S193,213.7,98.1,24.5,181.7,6.9,1065.8,785.4,56,50.77
S194,213.7,98.1,24.5,181.7,6.9,1065.8,785.4,100,53.9
S195,213.8,98.1,24.5,181.7,6.7,1066,785.5,3,13.18
S196,213.8,98.1,24.5,181.7,6.7,1066,785.5,14,17.84
S197,213.8,98.1,24.5,181.7,6.7,1066,785.5,28,40.23
S198,213.8,98.1,24.5,181.7,6.7,1066,785.5,56,47.13
S199,213.8,98.1,24.5,181.7,6.7,1066,785.5,100,49.97
S200,229.7,0,118.2,195.2,6.1,1028.1,757.6,14,22.32
S201,229.7,0,118.2,195.2,6.1,1028.1,757.6,28,24.54
S202,229.7,0,118.2,195.2,6.1,1028.1,757.6,56,31.35
S203,229.7,0,118.2,195.2,6.1,1028.1,757.6,100,40.86
S204,238.1,0,94.1,186.7,7,949.9,847,3,19.93
S205,238.1,0,94.1,186.7,7,949.9,847,14,25.69
S206,238.1,0,94.1,186.7,7,949.9,847,28,30.23
S207,238.1,0,94.1,186.7,7,949.9,847,56,39.59
S208,238.1,0,94.1,186.7,7,949.9,847,100,44.3
S209,250,0,95.7,187.4,5.5,956.9,861.2,3,13.82
S210,250,0,95.7,187.4,5.5,956.9,861.2,14,24.92
S211,250,0,95.7,187.4,5.5,956.9,861.2,56,38.33
S212,250,0,95.7,187.4,5.5,956.9,861.2,100,42.35
S213,212.5,0,100.4,159.3,8.7,1007.8,903.6,3,13.54
S214,212.5,0,100.4,159.3,8.7,1007.8,903.6,28,31.64
S215,212.5,0,100.4,159.3,8.7,1007.8,903.6,56,42.55
S216,212.5,0,100.4,159.3,8.7,1007.8,903.6,100,42.92
S217,212.6,0,100.4,159.4,10.4,1003.8,903.8,3,13.33
S218,212.6,0,100.4,159.4,10.4,1003.8,903.8,14,25.37
S219,212.6,0,100.4,159.4,10.4,1003.8,903.8,28,37.4
S220,212.6,0,100.4,159.4,10.4,1003.8,903.8,56,44.4
S221,212.6,0,100.4,159.4,10.4,1003.8,903.8,100,47.74
S222,212,0,124.8,159,7.8,1085.4,799.5,3,19.52
S223,212,0,124.8,159,7.8,1085.4,799.5,14,31.35
S224,212,0,124.8,159,7.8,1085.4,799.5,56,45.08
S225,212,0,124.8,159,7.8,1085.4,799.5,100,47.82
S226,231.8,0,121.6,174,6.7,1056.4,778.5,3,15.44
S227,231.8,0,121.6,174,6.7,1056.4,778.5,28,33.73
S228,231.8,0,121.6,174,6.7,1056.4,778.5,56,42.7
S229,231.8,0,121.6,174,6.7,1056.4,778.5,100,45.84
S230,251.4,0,118.3,188.5,5.8,1028.4,757.7,3,17.22
S231,251.4,0,118.3,188.5,5.8,1028.4,757.7,14,29.93
S232,251.4,0,118.3,188.5,5.8,1028.4,757.7,56,36.97
S233,251.4,0,118.3,188.5,5.8,1028.4,757.7,100,43.58
S234,251.4,0,118.3,188.5,6.4,1028.4,757.7,3,13.12
S235,251.4,0,118.3,188.5,6.4,1028.4,757.7,14,24.43
S236,251.4,0,118.3,188.5,6.4,1028.4,757.7,28,32.66
S237,251.4,0,118.3,188.5,6.4,1028.4,757.7,56,36.64
S238,251.4,0,118.3,188.5,6.4,1028.4,757.7,100,44.21
S239,181.4,0,167,169.6,7.6,1055.6,777.8,28,27.77
S240,181.4,0,167,169.6,7.6,1055.6,777.8,56,35.57
S241,181.4,0,167,169.6,7.6,1055.6,777.8,100,45.37
S242,182,45.2,122,170.2,8.2,1059.4,780.7,14,21.5
S243,182,45.2,122,170.2,8.2,1059.4,780.7,28,31.27
S244,182,45.2,122,170.2,8.2,1059.4,780.7,56,43.5
S245,182,45.2,122,170.2,8.2,1059.4,780.7,100,48.67
S246,168.9,42.2,124.3,158.3,10.8,1080.8,796.2,3,7.4
S247,168.9,42.2,124.3,158.3,10.8,1080.8,796.2,28,31.12
S248,168.9,42.2,124.3,158.3,10.8,1080.8,796.2,100,48.15
S249,290.4,0,96.2,168.1,9.4,961.2,865,3,22.5
S250,290.4,0,96.2,168.1,9.4,961.2,865,28,34.74
S251,290.4,0,96.2,168.1,9.4,961.2,865,56,45.08
S252,290.4,0,96.2,168.1,9.4,961.2,865,100,48.97
S253,277.1,0,97.4,160.6,11.8,973.9,875.6,3,23.14
S254,277.1,0,97.4,160.6,11.8,973.9,875.6,14,41.89
S255,277.1,0,97.4,160.6,11.8,973.9,875.6,28,48.28
S256,277.1,0,97.4,160.6,11.8,973.9,875.6,56,51.04
S257,277.1,0,97.4,160.6,11.8,973.9,875.6,100,55.64
S258,295.7,0,95.6,171.5,8.9,955.1,859.2,3,22.95
S259,295.7,0,95.6,171.5,8.9,955.1,859.2,14,35.23
S260,295.7,0,95.6,171.5,8.9,955.1,859.2,28,39.94
S261,295.7,0,95.6,171.5,8.9,955.1,859.2,56,48.72
S262,295.7,0,95.6,171.5,8.9,955.1,859.2,100,52.04
S263,251.8,0,99.9,146.1,12.4,1006,899.8,3,21.02
S264,251.8,0,99.9,146.1,12.4,1006,899.8,14,33.36
S265,251.8,0,99.9,146.1,12.4,1006,899.8,28,33.94
S266,251.8,0,99.9,146.1,12.4,1006,899.8,100,45.37
S267,249.1,0,98.8,158.1,12.8,987.8,889,28,30.85
S268,249.1,0,98.8,158.1,12.8,987.8,889,56,42.03
S269,249.1,0,98.8,158.1,12.8,987.8,889,100,51.06
S270,252.3,0,98.8,146.3,14.2,987.8,889,3,21.78
S271,252.3,0,98.8,146.3,14.2,987.8,889,14,42.29
S272,252.3,0,98.8,146.3,14.2,987.8,889,28,50.6
S273,252.3,0,98.8,146.3,14.2,987.8,889,56,55.83
S274,252.3,0,98.8,146.3,14.2,987.8,889,100,60.95
S275,246.8,0,125.1,143.3,12,1086.8,800.9,3,23.52
S276,246.8,0,125.1,143.3,12,1086.8,800.9,14,42.22
S277,246.8,0,125.1,143.3,12,1086.8,800.9,28,52.5
S278,246.8,0,125.1,143.3,12,1086.8,800.9,56,60.32
S279,275.1,0,121.4,159.5,9.9,1053.6,777.5,14,38.77
S280,275.1,0,121.4,159.5,9.9,1053.6,777.5,28,51.33
S281,275.1,0,121.4,159.5,9.9,1053.6,777.5,56,56.85
S282,275.1,0,121.4,159.5,9.9,1053.6,777.5,100,58.61
S283,297.2,0,117.5,174.8,9.5,1022.8,753.5,3,21.91
S284,297.2,0,117.5,174.8,9.5,1022.8,753.5,14,36.99
S285,297.2,0,117.5,174.8,9.5,1022.8,753.5,28,47.4
S286,297.2,0,117.5,174.8,9.5,1022.8,753.5,56,51.96
S287,297.2,0,117.5,174.8,9.5,1022.8,753.5,100,56.74
S288,213.7,0,174.7,154.8,10.2,1053.5,776.4,3,17.57
S289,213.7,0,174.7,154.8,10.2,1053.5,776.4,14,33.73
S290,213.7,0,174.7,154.8,10.2,1053.5,776.4,28,40.15
S291,213.7,0,174.7,154.8,10.2,1053.5,776.4,56,46.64
S292,213.5,0,174.2,154.6,11.7,1052.3,775.5,3,17.37
S293,213.5,0,174.2,154.6,11.7,1052.3,775.5,14,33.7
S294,213.5,0,174.2,154.6,11.7,1052.3,775.5,28,45.94
S295,213.5,0,174.2,154.6,11.7,1052.3,775.5,56,51.43
S296,213.5,0,174.2,154.6,11.7,1052.3,775.5,100,59.3
S297,277.2,97.8,24.5,160.7,11.2,1061.7,782.5,3,30.45
S298,277.2,97.8,24.5,160.7,11.2,1061.7,782.5,28,63.14
S299,277.2,97.8,24.5,160.7,11.2,1061.7,782.5,56,66.82
S300,277.2,97.8,24.5,160.7,11.2,1061.7,782.5,100,66.95
S301,218.2,54.6,123.8,140.8,11.9,1075.7,792.7,14,35.96
S302,218.2,54.6,123.8,140.8,11.9,1075.7,792.7,28,55.51
S303,214.9,53.8,121.9,155.6,9.6,1014.3,780.6,3,18.02
S304,214.9,53.8,121.9,155.6,9.6,1014.3,780.6,14,38.6
S305,214.9,53.8,121.9,155.6,9.6,1014.3,780.6,28,52.2
S306,214.9,53.8,121.9,155.6,9.6,1014.3,780.6,56,53.96
S307,214.9,53.8,121.9,155.6,9.6,1014.3,780.6,100,56.63
S308,218.9,0,124.1,158.5,11.3,1078.7,794.9,3,15.34
S309,218.9,0,124.1,158.5,11.3,1078.7,794.9,14,26.05
S310,218.9,0,124.1,158.5,11.3,1078.7,794.9,28,30.22
S311,376,0,0,214.6,0,1003.5,762.4,14,25.62
S312,376,0,0,214.6,0,1003.5,762.4,56,36.3
S313,376,0,0,214.6,0,1003.5,762.4,100,43.06
S314,500,0,0,140,4,966,853,28,67.57
S315,475,0,59,142,1.9,1098,641,28,57.23
S316,315,137,0,145,5.9,1130,745,28,81.75
S317,505,0,60,195,0,1030,630,28,64.02
S318,451,0,0,165,11.3,1030,745,28,78.8
S319,516,0,0,162,8.2,801,802,28,41.37
S320,520,0,0,170,5.2,855,855,28,60.28
S321,520,0,0,175,5.2,870,805,28,51.02
S322,385,0,136,158,20,903,768,28,55.55
S323,500.1,0,0,200,3,1124.4,613.2,28,44.13
S324,397,17.2,158,167,20.8,967,633,28,55.65
S325,333,17.5,163,167,17.9,996,652,28,47.28
S326,405,0,0,175,0,1120,695,28,52.3
S327,200,200,0,190,0,1145,660,28,49.25
S328,516,0,0,162,8.3,801,802,28,41.37
S329,145,116,119,184,5.7,833,880,28,29.16
S330,160,128,122,182,6.4,824,879,28,39.4
S331,234,156,0,189,5.9,981,760,28,39.3
S332,250,180,95,159,9.5,860,800,28,67.87
S333,475,0,0,162,9.5,1044,662,28,58.52
S334,285,190,0,163,7.6,1031,685,28,53.58
S335,500,0,0,151,9,1033,655,28,69.84
S336,165,0,143.6,163.8,0,1005.6,900.9,3,14.4
S337,165,128.5,132.1,175.1,8.1,1005.8,746.6,3,19.42
S338,178,129.8,118.6,179.9,3.6,1007.3,746.8,3,20.73
S339,167.4,129.9,128.6,175.5,7.8,1006.3,746.6,3,14.94
S340,173.5,50.1,173.5,164.8,6.5,1006.2,793.5,3,23.08
S341,167,75.4,167,164,7.9,1007.3,770.1,3,15.52
S342,173.8,93.4,159.9,172.3,9.7,1007.2,746.6,3,15.82
S343,190.3,0,125.2,166.6,9.9,1079,798.9,3,12.55
S344,250,0,95.7,191.8,5.3,948.9,857.2,3,8.49
S345,213.5,0,174.2,159.2,11.7,1043.6,771.9,3,15.61
S346,194.7,0,100.5,170.2,7.5,998,901.8,3,12.18
S347,165,0,143.6,163.8,0,1005.6,900.9,14,16.88
S348,165,128.5,132.1,175.1,8.1,1005.8,746.6,14,33.09
S349,178,129.8,118.6,179.9,3.6,1007.3,746.8,14,34.24
S350,172.4,13.6,172.4,156.8,4.1,1006.3,856.4,14,29.75
S351,167,75.4,167,164,7.9,1007.3,770.1,14,32.9
S352,173.8,93.4,159.9,172.3,9.7,1007.2,746.6,14,29.55
S353,190.3,0,125.2,166.6,9.9,1079,798.9,14,19.42
S354,250,0,95.7,191.8,5.3,948.9,857.2,14,24.66
S355,213.5,0,174.2,159.2,11.7,1043.6,771.9,14,29.59
S356,194.7,0,100.5,170.2,7.5,998,901.8,14,24.28
S357,165,128.5,132.1,175.1,8.1,1005.8,746.6,28,46.39
S358,178,129.8,118.6,179.9,3.6,1007.3,746.8,28,39.16
S359,167.4,129.9,128.6,175.5,7.8,1006.3,746.6,28,41.2
S360,172.4,13.6,172.4,156.8,4.1,1006.3,856.4,28,33.69
S361,173.5,50.1,173.5,164.8,6.5,1006.2,793.5,28,38.2
S362,167,75.4,167,164,7.9,1007.3,770.1,28,41.41
S363,190.3,0,125.2,166.6,9.9,1079,798.9,28,24.85
S364,250,0,95.7,191.8,5.3,948.9,857.2,28,27.22
S365,194.7,0,100.5,170.2,7.5,998,901.8,28,37.27
S366,165,0,143.6,163.8,0,1005.6,900.9,56,36.56
S367,178,129.8,118.6,179.9,3.6,1007.3,746.8,56,48.59
S368,167.4,129.9,128.6,175.5,7.8,1006.3,746.6,56,51.72
S369,172.4,13.6,172.4,156.8,4.1,1006.3,856.4,56,35.85
S370,173.5,50.1,173.5,164.8,6.5,1006.2,793.5,56,53.77
S371,167,75.4,167,164,7.9,1007.3,770.1,56,53.46
S372,173.8,93.4,159.9,172.3,9.7,1007.2,746.6,56,48.99
S373,250,0,95.7,191.8,5.3,948.9,857.2,56,39.64
S374,213.5,0,174.2,159.2,11.7,1043.6,771.9,56,51.26
S375,251.4,0,118.3,192.9,5.8,1043.6,754.3,56,39.27
S376,165,0,143.6,163.8,0,1005.6,900.9,100,37.96
S377,165,128.5,132.1,175.1,8.1,1005.8,746.6,100,55.02
S378,178,129.8,118.6,179.9,3.6,1007.3,746.8,100,49.99
S379,167.4,129.9,128.6,175.5,7.8,1006.3,746.6,100,53.66
S380,172.4,13.6,172.4,156.8,4.1,1006.3,856.4,100,37.68
S381,167,75.4,167,164,7.9,1007.3,770.1,100,56.81
S382,173.8,93.4,159.9,172.3,9.7,1007.2,746.6,100,50.94
S383,213.5,0,174.2,159.2,11.7,1043.6,771.9,100,52.96
S384,194.7,0,100.5,170.2,7.5,998,901.8,100,44.28
S385,251.4,0,118.3,192.9,5.8,1043.6,754.3,100,40.15
S386,446,24,79,162,11.6,967,712,28,57.03
S387,446,24,79,162,11.6,967,712,28,44.42
S388,446,24,79,162,11.6,967,712,28,51.02
S389,446,24,79,162,10.3,967,712,28,53.39
S390,446,24,79,162,11.6,967,712,3,35.36
S391,446,24,79,162,11.6,967,712,3,25.02
S392,446,24,79,162,11.6,967,712,7,38.02
S393,446,24,79,162,11.6,967,712,7,39.3
S394,446,24,79,162,11.6,967,712,56,61.07
S395,446,24,79,162,11.6,967,712,56,55.25
S396,387,20,94,157,14.3,938,845,3,22.75
S397,387,20,94,157,13.9,938,845,3,25.51
S398,387,20,94,157,11.6,938,845,3,34.77
S399,387,20,94,157,14.3,938,845,7,36.84
S400,387,20,94,157,13.9,938,845,7,45.9
S401,387,20,94,157,11.6,938,845,7,41.67
S402,387,20,94,157,14.3,938,845,56,56.34
S403,387,20,94,157,13.9,938,845,56,47.97
S404,387,20,94,157,11.6,938,845,56,61.46
S405,355,19,97,145,13.1,967,871,28,44.03
S406,355,19,97,145,12.3,967,871,28,55.45
S407,491,26,123,210,3.9,882,699,28,55.55
S408,491,26,123,201,3.9,822,699,28,57.92
S409,491,26,123,210,3.9,882,699,3,25.61
S410,491,26,123,210,3.9,882,699,7,33.49
S411,491,26,123,201,3.9,822,699,7,37.92
S412,424,22,132,178,8.5,822,750,28,62.05
S413,424,22,132,178,8.5,882,750,3,32.01
S414,424,22,132,168,8.9,822,750,28,72.1
S415,424,22,132,178,8.5,822,750,7,39
S416,424,22,132,178,8.5,822,750,56,65.7
S417,424,22,132,168,8.9,822,750,7,40.29
S418,424,22,132,168,8.9,822,750,56,74.36
S419,202,11,141,206,1.7,942,801,3,9.85
S420,284,15,141,179,5.5,842,801,28,43.73
S421,284,15,141,179,5.5,842,801,3,13.4
S422,284,15,141,179,5.5,842,801,7,24.13
S423,359,19,141,154,10.9,942,801,28,62.94
S424,359,19,141,154,10.9,942,801,28,59.49
S425,359,19,141,154,10.9,942,801,3,25.12
S426,359,19,141,154,10.9,942,801,3,23.64
S427,359,19,141,154,10.9,942,801,7,35.75
S428,359,19,141,154,10.9,942,801,7,38.61
S429,359,19,141,154,10.9,942,801,56,68.75
S430,289,0,0,192,0,913.2,895.3,90,32.07
S431,289,0,0,192,0,913.2,895.3,3,11.65
S432,393,0,0,192,0,940.6,785.6,3,19.2
S433,393,0,0,192,0,940.6,785.6,90,48.85
S434,393,0,0,192,0,940.6,785.6,28,39.6
S435,480,0,0,192,0,936.2,712.2,28,43.94
S436,480,0,0,192,0,936.2,712.2,7,34.57
S437,480,0,0,192,0,936.2,712.2,90,54.32
