"initial_list_status","purpose","int_rate","installment","annual_inc","dti","verification_status","grade","revol_bal","inq_last_12m","delinq_2yrs","home_ownership","not_paid","log_inc","verified","grdCtoA"
"w","credit_card",25.82,745.85,65000,22.86,"Source Verified","E",28177,0,1,"RENT",0,11.0821425488778,1,0
"w","debt_consolidation",11.99,232.47,42000,21.6,"Verified","B",10100,2,0,"RENT",1,10.6454248972655,1,1
"f","home_improvement",18.06,868.39,80000,18.79,"Source Verified","D",7660,7,0,"MORTGAGE",1,11.289781913656,1,0
"w","credit_card",15.05,867.25,64000,20.96,"Not Verified","C",28921,9,0,"MORTGAGE",1,11.0666383623418,0,0
"f","debt_consolidation",13.59,271.84,67000,14.92,"Not Verified","C",10032,1,0,"MORTGAGE",0,11.1124478983731,0,0
"w","debt_consolidation",7.35,297.96,50000,42.99,"Verified","A",12072,4,0,"OWN",1,10.8197782844103,1,1
"w","debt_consolidation",23.88,636.39,65000,32.92,"Not Verified","E",12043,6,0,"MORTGAGE",0,11.0821425488778,0,0
"w","credit_card",6.72,107.63,57000,24.74,"Not Verified","A",14125,3,0,"RENT",0,10.9508065468167,0,1
"w","debt_consolidation",16.02,351.67,50000,13.87,"Verified","C",0,1,0,"MORTGAGE",1,10.8197782844103,1,0
"w","debt_consolidation",14.08,85.55,37000,3.96,"Source Verified","C",1002,2,0,"RENT",0,10.5186731916264,1,0
"w","debt_consolidation",9.44,160.03,45000,16.05,"Not Verified","B",13299,3,0,"MORTGAGE",1,10.7144177687525,0,1
"w","major_purchase",12.62,676.78,117963,1.56,"Source Verified","C",393,0,0,"MORTGAGE",1,11.6781262949558,1,0
"f","debt_consolidation",28.72,646.14,43000,19.51,"Verified","F",10915,4,0,"RENT",0,10.6689553946757,1,0
"w","debt_consolidation",11.99,132.84,36000,35.4,"Not Verified","B",6169,1,0,"MORTGAGE",1,10.4912742174382,0,1
"w","debt_consolidation",15.05,194.27,125000,22.81,"Not Verified","C",36863,4,0,"OWN",1,11.7360690162844,0,0
"w","home_improvement",15.05,710.28,46589,16.62,"Verified","C",9056,3,0,"MORTGAGE",1,10.749119740747,1,0
"w","credit_card",10.91,326.97,70000,8.11,"Source Verified","B",11942,3,0,"RENT",1,11.1562505210315,1,1
"w","home_improvement",9.93,286.89,30000,30.32,"Source Verified","B",1010,2,0,"MORTGAGE",1,10.3089526606443,1,1
"w","credit_card",15.05,901.94,75341,28.1,"Source Verified","C",18084,1,1,"MORTGAGE",1,11.2297797543196,1,0
"w","credit_card",30.79,569.78,63730,24.9,"Verified","G",14991,5,0,"RENT",0,11.0624106883083,1,0
"f","debt_consolidation",18.06,542.74,75000,8.64,"Source Verified","D",42,6,2,"OWN",1,11.2252433925184,1,0
"w","credit_card",12.62,187.67,70000,28.85,"Verified","C",8856,0,0,"RENT",1,11.1562505210315,1,0
"w","debt_consolidation",19.03,352.97,41000,36.59,"Source Verified","D",18773,0,0,"RENT",1,10.6213273456864,1,0
"w","debt_consolidation",11.99,355.84,145000,7.84,"Not Verified","B",4880,2,1,"RENT",1,11.8844890214027,0,1
"w","debt_consolidation",6.08,974.67,110000,22.91,"Source Verified","A",31773,5,0,"RENT",0,11.6082356447746,1,1
"w","credit_card",10.91,294.27,34000,35.09,"Not Verified","B",10238,1,0,"RENT",0,10.4341158035983,0,1
"w","major_purchase",19.03,1173.48,100000,16.16,"Source Verified","D",13288,9,1,"RENT",1,11.5129254649702,1,0
"w","debt_consolidation",11.99,240.19,62000,6.45,"Not Verified","B",5903,1,0,"RENT",0,11.0348896640272,0,1
"w","home_improvement",10.91,49.05,64000,1.54,"Source Verified","B",3301,2,3,"MORTGAGE",0,11.0666383623418,1,1
"w","debt_consolidation",9.44,896.14,120000,25.35,"Not Verified","B",22527,0,0,"MORTGAGE",0,11.6952470217642,0,1
"w","credit_card",13.59,806.97,125000,22.57,"Not Verified","C",44839,0,1,"RENT",0,11.7360690162844,0,0
"f","debt_consolidation",16.02,351.67,55000,18.02,"Verified","C",12516,1,0,"RENT",1,10.9150884642146,1,0
"f","debt_consolidation",15.05,762.12,89943,12.94,"Verified","C",13893,3,0,"RENT",1,11.4069314153388,1,0
"w","debt_consolidation",16.02,527.51,48000,6.25,"Source Verified","C",7088,1,3,"OWN",0,10.77895628989,1,0
"w","credit_card",17.09,285.59,27000,17.07,"Source Verified","D",10411,4,0,"MORTGAGE",0,10.2035921449865,1,0
"w","credit_card",6.72,307.5,64398,9.36,"Source Verified","A",6724,3,1,"RENT",0,11.0728378557096,1,1
"w","debt_consolidation",11.99,996.29,146000,4.35,"Not Verified","B",9340,2,0,"RENT",0,11.8913619006905,0,1
"w","debt_consolidation",9.44,96.02,80000,16.17,"Not Verified","B",13168,0,0,"OWN",0,11.289781913656,0,1
"w","small_business",14.08,148.85,48000,17.2,"Source Verified","C",1454,0,2,"RENT",1,10.77895628989,1,0
"f","debt_consolidation",18.06,217.1,35064,17.76,"Not Verified","D",6255,1,0,"MORTGAGE",1,10.4649302420986,0,0
"w","debt_consolidation",13.59,345.85,110000,5.05,"Not Verified","C",1853,3,0,"MORTGAGE",1,11.6082356447746,0,0
"w","debt_consolidation",13.59,806.97,113000,18.84,"Verified","C",27099,4,0,"RENT",1,11.6351430976945,1,0
"w","debt_consolidation",19.03,726.8,70000,22.29,"Not Verified","D",25630,4,2,"MORTGAGE",0,11.1562505210315,0,0
"f","debt_consolidation",30.79,525.45,17004,24.91,"Verified","G",14672,1,2,"MORTGAGE",0,9.74120388947868,1,0
"w","credit_card",16.02,211.01,36500,9.21,"Verified","C",1960,2,0,"RENT",1,10.5050675395706,1,0
"w","debt_consolidation",19.03,451.06,70400,23.58,"Not Verified","D",2942,1,0,"RENT",1,11.1619485421461,0,0
"w","debt_consolidation",11.99,464.94,80000,7.23,"Source Verified","B",1617,7,0,"RENT",1,11.289781913656,1,1
"f","debt_consolidation",19.03,440.06,75000,17.25,"Source Verified","D",29297,1,0,"MORTGAGE",1,11.2252433925184,1,0
"w","home_improvement",19.03,726.8,29000,10.22,"Not Verified","D",5279,5,3,"MORTGAGE",1,10.2750511089686,0,0
"w","credit_card",7.97,579.47,90000,19.53,"Not Verified","A",23526,3,0,"OWN",1,11.4075649493124,0,1
"f","debt_consolidation",12.62,335.12,75000,20.05,"Source Verified","C",12974,0,1,"RENT",1,11.2252433925184,1,0
"w","debt_consolidation",5.32,90.35,22000,19.75,"Verified","A",4755,0,0,"RENT",0,9.99879773234045,1,1
"w","major_purchase",10.42,909.02,40000,3.81,"Verified","B",5087,2,0,"RENT",0,10.5966347330961,1,1
"w","small_business",30.79,413.79,18000,59.8,"Verified","G",11565,2,0,"RENT",1,9.7981270368783,1,0
"w","debt_consolidation",30.65,366.85,28000,37.98,"Verified","F",12142,1,0,"RENT",1,10.2399597891573,1,0
"w","credit_card",5.32,752.87,135000,15.63,"Source Verified","A",14524,7,4,"MORTGAGE",0,11.8130300574206,1,1
"w","credit_card",14.08,699.3,54000,14.36,"Verified","C",28783,4,0,"MORTGAGE",0,10.8967393255464,1,0
"w","debt_consolidation",14.08,489.51,95000,10.55,"Source Verified","C",3676,3,0,"OWN",1,11.4616321705827,1,0
"w","debt_consolidation",20,929.09,130000,28.84,"Verified","D",16305,7,0,"MORTGAGE",1,11.7752897294377,1,0
"w","credit_card",12.62,502.67,60000,15.32,"Verified","C",12821,2,1,"MORTGAGE",0,11.0020998412042,1,0
"f","debt_consolidation",14.08,1026.5,76000,34.29,"Source Verified","C",43387,1,0,"MORTGAGE",0,11.2384886192685,1,0
"w","debt_consolidation",18.06,1266.39,75000,25.66,"Verified","D",10466,6,0,"MORTGAGE",0,11.2252433925184,1,0
"w","debt_consolidation",7.21,145.58,44584,13.59,"Not Verified","A",3764,1,0,"MORTGAGE",0,10.7051303292494,0,1
"w","debt_consolidation",15.05,520.35,71000,19.54,"Verified","C",9100,1,0,"RENT",0,11.1704351560235,1,0
"w","major_purchase",14.08,559.44,38500,26.31,"Verified","C",1010,2,0,"RENT",1,10.5584135202759,1,0
"w","credit_card",13.59,553.35,70000,21.53,"Verified","C",11071,9,2,"MORTGAGE",1,11.1562505210315,1,0
"w","debt_consolidation",20,520.3,40000,37.83,"Not Verified","D",14728,1,0,"RENT",0,10.5966347330961,0,0
"w","home_improvement",7.35,465.57,47000,21.91,"Not Verified","A",5053,0,0,"MORTGAGE",1,10.7579028806922,0,1
"w","debt_consolidation",20,494.28,34000,12.71,"Source Verified","D",4578,1,0,"RENT",1,10.4341158035983,1,0
"f","home_improvement",11.99,99.63,80000,3.24,"Not Verified","B",6725,2,0,"MORTGAGE",0,11.289781913656,0,1
"f","debt_consolidation",14.08,136.87,51000,21.88,"Not Verified","C",9522,3,1,"RENT",0,10.8395809117065,0,0
"f","credit_card",19.03,366.72,54000,19.8,"Verified","D",13673,4,1,"RENT",1,10.8967393255464,1,0
"w","debt_consolidation",18.06,889.92,200000,25.18,"Verified","D",178902,3,0,"MORTGAGE",1,12.2060726455302,1,0
"w","debt_consolidation",21.45,254.93,80000,12.89,"Source Verified","D",12966,1,2,"MORTGAGE",1,11.289781913656,1,0
"f","home_improvement",9.93,709.16,96000,9.95,"Verified","B",10838,5,0,"OWN",1,11.47210347045,1,1
"w","debt_consolidation",24.85,731.59,400000,6.09,"Not Verified","E",15200,3,2,"MORTGAGE",0,12.8992198260901,0,0
"w","debt_consolidation",15.05,832.56,95000,6.8,"Source Verified","C",18699,0,1,"MORTGAGE",0,11.4616321705827,1,0
"w","credit_card",11.99,555.99,100000,16.13,"Not Verified","B",17942,2,0,"RENT",0,11.5129254649702,0,1
"w","home_improvement",11.99,544.87,95000,21.7,"Not Verified","B",3678,11,0,"MORTGAGE",1,11.4616321705827,0,1
"w","credit_card",13.59,169.9,25000,19.18,"Not Verified","C",8590,3,0,"RENT",0,10.1266311038503,0,0
"w","home_improvement",15.05,952.65,60000,15.54,"Source Verified","C",19238,0,0,"MORTGAGE",1,11.0020998412042,1,0
"w","debt_consolidation",7.07,355.46,180000,21.2,"Not Verified","A",12420,2,0,"MORTGAGE",0,12.1007121298723,0,1
"w","credit_card",15.05,952.65,20000,94.72,"Verified","C",50991,2,0,"MORTGAGE",1,9.90348755253613,1,0
"w","debt_consolidation",9.93,257.88,60000,27.92,"Not Verified","B",15944,2,0,"MORTGAGE",1,11.0020998412042,0,1
"f","debt_consolidation",21.45,1137.2,139000,39.36,"Not Verified","D",24125,2,1,"MORTGAGE",0,11.8422292121128,0,0
"f","debt_consolidation",23.88,846.07,48000,31.25,"Verified","E",166349,3,0,"OWN",1,10.77895628989,1,0
"w","debt_consolidation",9.93,128.94,60000,18.36,"Not Verified","B",3999,3,0,"MORTGAGE",0,11.0020998412042,0,1
"w","credit_card",12.62,201.07,22000,23.79,"Not Verified","C",10291,3,0,"MORTGAGE",1,9.99879773234045,0,0
"f","debt_consolidation",13.59,461.13,149000,5.71,"Not Verified","C",5295,0,1,"MORTGAGE",0,11.9117015849276,0,0
"f","debt_consolidation",11.99,1024.52,150000,20.84,"Not Verified","B",14342,0,0,"MORTGAGE",0,11.9183905730784,0,1
"w","debt_consolidation",25.82,954.69,33000,34.25,"Source Verified","E",7599,1,0,"MORTGAGE",1,10.4042628404486,1,0
"w","debt_consolidation",7.21,185.84,108000,8.52,"Source Verified","A",14683,0,1,"MORTGAGE",0,11.5898865061064,1,1
"f","debt_consolidation",20,312.18,117000,8.44,"Source Verified","D",17875,3,0,"RENT",1,11.6699292137799,1,0
"w","debt_consolidation",14.08,282.29,206000,17.49,"Source Verified","C",52725,0,0,"MORTGAGE",0,12.2356314477717,1,0
"w","credit_card",7.07,185.46,36000,33.92,"Not Verified","A",24096,7,0,"MORTGAGE",0,10.4912742174382,0,1
"w","home_improvement",28.72,315.72,43350,25.89,"Verified","F",3002,4,0,"MORTGAGE",1,10.6770619822087,1,0
"f","debt_consolidation",10.91,1307.85,87000,12.26,"Not Verified","B",45079,2,1,"OWN",0,11.3736633976367,0,1
"w","debt_consolidation",20,624.35,27300,50.15,"Verified","D",6244,0,1,"RENT",1,10.2146419811731,1,0
"f","credit_card",12.62,100.54,52000,16.55,"Not Verified","C",8564,1,0,"MORTGAGE",1,10.8589989975636,0,0
"w","credit_card",6.08,304.59,50000,7.62,"Source Verified","A",10156,0,0,"RENT",1,10.8197782844103,1,1
"w","credit_card",19.03,165.03,27700,32.19,"Not Verified","D",4441,0,0,"OWN",1,10.2291876921754,0,0
"w","credit_card",15.05,476.33,72000,24.54,"Not Verified","C",22743,0,0,"MORTGAGE",1,11.1844213979982,0,0
"f","debt_consolidation",12.62,804.27,95000,24.82,"Not Verified","C",2477,6,0,"RENT",0,11.4616321705827,0,0
"w","home_improvement",6.08,213.21,65000,16.38,"Not Verified","A",4132,1,0,"MORTGAGE",0,11.0821425488778,0,1
"w","debt_consolidation",6.72,92.25,40000,12.87,"Not Verified","A",6984,2,0,"MORTGAGE",0,10.5966347330961,0,1
"w","debt_consolidation",14.08,582.75,106000,8.71,"Not Verified","C",20348,3,0,"RENT",1,11.5711943730942,0,0
"w","credit_card",11.99,332.1,104000,15.01,"Source Verified","B",13034,3,0,"MORTGAGE",1,11.5521461781235,1,1
"w","credit_card",12.62,67.03,70000,13.7,"Source Verified","C",2034,2,0,"MORTGAGE",0,11.1562505210315,1,0
"w","debt_consolidation",19.03,259.58,27000,39.82,"Verified","D",9982,1,1,"RENT",0,10.2035921449865,1,0
"w","debt_consolidation",13.59,978.6,60000,28.01,"Not Verified","C",14619,5,0,"MORTGAGE",1,11.0020998412042,0,0
"w","debt_consolidation",7.35,186.23,120000,11.2,"Source Verified","A",1039,0,0,"MORTGAGE",0,11.6952470217642,1,1
"w","debt_consolidation",20,297.31,67000,12.75,"Not Verified","D",9328,2,0,"RENT",0,11.1124478983731,0,0
"w","debt_consolidation",10.91,39.24,16000,31.13,"Not Verified","B",8714,1,0,"RENT",0,9.68034400122192,0,1
"w","debt_consolidation",12.62,541.42,58000,9.27,"Source Verified","C",3,0,0,"RENT",1,10.9681982895286,1,0
"f","credit_card",5.32,262,24000,16.2,"Source Verified","A",11523,0,0,"OWN",0,10.0858091093301,1,1
"w","credit_card",7.35,155.19,56000,4.41,"Not Verified","A",2734,1,0,"MORTGAGE",0,10.9331069697173,0,1
"w","debt_consolidation",7.21,991.15,130000,7.11,"Verified","A",6327,2,0,"MORTGAGE",0,11.7752897294377,1,1
"f","debt_consolidation",23.88,195.85,23500,84.2,"Verified","E",48051,2,0,"RENT",0,10.0647557001323,1,0
"w","major_purchase",28.72,454.64,21000,73.66,"Verified","F",9100,11,0,"RENT",1,9.95227771670556,1,0
"w","credit_card",15.05,520.35,36000,20.57,"Source Verified","C",19609,2,0,"OWN",1,10.4912742174382,1,0
"f","credit_card",17.09,149.93,20000,6.6,"Source Verified","D",2229,0,1,"RENT",0,9.90348755253613,1,0
"w","major_purchase",18.06,542.74,185000,22.36,"Verified","D",8396,1,0,"MORTGAGE",0,12.1281111040605,1,0
"w","debt_consolidation",6.72,113.78,60000,25.68,"Source Verified","A",55104,0,0,"MORTGAGE",0,11.0020998412042,1,1
"w","debt_consolidation",22.91,586.71,60000,34.66,"Not Verified","E",7133,0,0,"MORTGAGE",0,11.0020998412042,0,0
"w","debt_consolidation",20,503.39,45000,27.36,"Verified","D",12392,1,0,"RENT",0,10.7144177687525,1,0
"w","debt_consolidation",9.93,45.13,20000,2.88,"Source Verified","B",2398,0,0,"RENT",0,9.90348755253613,1,1
"f","debt_consolidation",16.02,316.51,58000,31.43,"Not Verified","C",14882,3,0,"RENT",0,10.9681982895286,0,0
"w","debt_consolidation",21.45,573.45,75000,29.54,"Verified","D",8114,3,0,"RENT",1,11.2252433925184,1,0
"w","credit_card",7.07,129.82,75000,13.52,"Not Verified","A",3795,0,0,"RENT",0,11.2252433925184,0,1
"w","credit_card",14.08,839.16,150000,27.03,"Verified","C",35581,0,0,"MORTGAGE",1,11.9183905730784,1,0
"w","debt_consolidation",17.09,232.04,130000,31.18,"Not Verified","D",101340,4,0,"MORTGAGE",0,11.7752897294377,0,0
"w","debt_consolidation",23.88,602.67,60000,26.34,"Verified","E",16231,0,0,"RENT",0,11.0020998412042,1,0
"f","debt_consolidation",9.93,547.99,72000,27.9,"Not Verified","B",14130,7,0,"RENT",1,11.1844213979982,0,1
"w","debt_consolidation",19.03,311.49,50000,19.64,"Source Verified","D",11662,8,0,"RENT",0,10.8197782844103,1,0
"w","home_improvement",23.88,286.99,55000,6.57,"Not Verified","E",855,9,2,"MORTGAGE",1,10.9150884642146,0,0
"w","debt_consolidation",21.45,305.15,33845.48,38.9,"Verified","D",1226,2,0,"MORTGAGE",1,10.4295607391438,1,0
"f","credit_card",26.3,302.37,22000,8.4,"Verified","E",4190,1,0,"OWN",0,9.99879773234045,1,0
"w","credit_card",9.93,96.71,30000,14.84,"Not Verified","B",8531,0,0,"MORTGAGE",1,10.3089526606443,0,1
"w","home_improvement",18.06,635.66,120000,23.79,"Verified","D",19781,5,0,"MORTGAGE",0,11.6952470217642,1,0
"f","debt_consolidation",11.99,132.84,44000,12.03,"Source Verified","B",2699,1,0,"OWN",0,10.6919449129004,1,1
"w","debt_consolidation",16.02,729.87,42000,29.69,"Verified","C",18570,0,1,"MORTGAGE",0,10.6454248972655,1,0
"w","credit_card",9.44,960.15,180000,33.1,"Source Verified","B",11216,2,0,"MORTGAGE",1,12.1007121298723,1,1
"w","credit_card",9.44,128.02,75000,16.13,"Source Verified","B",14681,4,0,"MORTGAGE",0,11.2252433925184,1,1
"f","debt_consolidation",21.45,568.6,50000,12.87,"Source Verified","D",14941,2,0,"RENT",1,10.8197782844103,1,0
"f","home_improvement",15.05,190.8,42500,14.12,"Not Verified","C",10792,3,1,"OWN",1,10.6572593549125,0,0
"w","credit_card",19.03,73.35,30000,23.48,"Source Verified","D",2106,2,0,"RENT",0,10.3089526606443,1,0
"w","debt_consolidation",19.03,539.26,56500,18.61,"Not Verified","D",22745,0,0,"MORTGAGE",0,10.9419959171345,0,0
"w","credit_card",10.42,486.98,64000,11.68,"Not Verified","B",14806,1,0,"MORTGAGE",0,11.0666383623418,0,1
"w","debt_consolidation",14.08,513.25,60000,24.88,"Source Verified","C",17105,1,1,"RENT",0,11.0020998412042,1,0
"w","debt_consolidation",12.62,670.23,160000,4.74,"Verified","C",5221,4,2,"RENT",1,11.982929094216,1,0
"f","debt_consolidation",12.62,360.95,96000,26.06,"Verified","C",22150,1,1,"MORTGAGE",1,11.47210347045,1,0
"f","home_improvement",9.93,225.65,56000,27.26,"Source Verified","B",9342,10,0,"MORTGAGE",1,10.9331069697173,1,1
"w","debt_consolidation",13.59,1359.16,85000,14.99,"Verified","C",13850,0,0,"MORTGAGE",1,11.3504065354725,1,0
"f","debt_consolidation",23.88,513.13,110000,12.34,"Source Verified","E",137,3,0,"RENT",1,11.6082356447746,1,0
"f","credit_card",10.91,228.88,20000,27.46,"Verified","B",6044,0,0,"RENT",1,9.90348755253613,1,1
"w","debt_consolidation",18.06,1447.31,104000,26.7,"Not Verified","D",27942,2,0,"MORTGAGE",1,11.5521461781235,0,0
"w","debt_consolidation",16.02,527.51,39000,33.29,"Verified","C",16427,2,0,"RENT",0,10.5713169251118,1,0
"w","debt_consolidation",10.42,543.33,165000,8.56,"Not Verified","B",1338,0,0,"MORTGAGE",0,12.0137007528827,0,1
"w","credit_card",19.03,674.89,80000,15.18,"Source Verified","D",2382,2,0,"RENT",1,11.289781913656,1,0
"w","debt_consolidation",12.62,552.94,98600,13.81,"Source Verified","C",75545,4,0,"OWN",0,11.4988265405907,1,0
"w","debt_consolidation",15.05,476.33,58000,17.32,"Verified","C",556,1,1,"MORTGAGE",1,10.9681982895286,1,0
"w","home_improvement",6.08,731,80000,14.97,"Not Verified","A",26170,0,0,"OWN",1,11.289781913656,0,1
"w","debt_consolidation",5.32,481.84,110000,8.75,"Not Verified","A",5227,3,0,"MORTGAGE",0,11.6082356447746,0,1
"f","debt_consolidation",14.08,479.04,61000,25.48,"Not Verified","C",20632,3,0,"RENT",1,11.0186291431554,0,0
"w","debt_consolidation",18.06,506.56,50000,29.84,"Not Verified","D",4259,0,0,"RENT",1,10.8197782844103,0,0
"w","credit_card",7.97,798.73,45000,34.89,"Source Verified","A",42338,0,0,"MORTGAGE",1,10.7144177687525,1,1
"f","debt_consolidation",22.91,467.83,106000,27.47,"Not Verified","E",51649,2,0,"MORTGAGE",0,11.5711943730942,0,0
"f","debt_consolidation",14.08,102.65,25000,15.55,"Source Verified","C",2084,6,0,"OWN",0,10.1266311038503,1,0
"f","debt_consolidation",21.45,379.07,38000,9.82,"Not Verified","D",10081,1,0,"RENT",0,10.5453414387085,0,0
"w","debt_consolidation",7.35,148.98,60000,28.14,"Source Verified","A",12433,4,0,"MORTGAGE",1,11.0020998412042,1,1
"w","debt_consolidation",15.05,333.43,45000,23.88,"Verified","C",10621,1,0,"RENT",0,10.7144177687525,1,0
"w","debt_consolidation",13.59,237.86,72000,22.22,"Source Verified","C",13938,5,0,"MORTGAGE",0,11.1844213979982,1,0
"w","home_improvement",5.32,752.87,180000,12.64,"Not Verified","A",3975,2,0,"MORTGAGE",0,12.1007121298723,0,1
"w","debt_consolidation",16.02,218.92,39580,37.86,"Verified","C",3374,4,0,"MORTGAGE",0,10.5860792191566,1,0
"f","debt_consolidation",17.09,285.59,50000,22.13,"Verified","D",15276,3,0,"RENT",0,10.8197782844103,1,0
"w","debt_consolidation",7.97,187.94,110000,25.36,"Not Verified","A",13445,2,1,"OWN",1,11.6082356447746,0,1
"f","debt_consolidation",14.08,222.41,60000,28.26,"Source Verified","C",2282,7,0,"MORTGAGE",0,11.0020998412042,1,0
"w","credit_card",9.44,460.88,19000,0,"Verified","B",0,0,0,"OWN",0,9.85219425814858,1,1
"f","debt_consolidation",25.82,321.56,57900,20.31,"Source Verified","E",583,2,3,"RENT",0,10.9664726635611,1,0
"w","home_improvement",7.21,309.74,130000,16.52,"Not Verified","A",24469,0,0,"MORTGAGE",1,11.7752897294377,0,1
