customer_id,city,gender,senior_citizen,dependents,tenure_months,phone_service,internet_service,contract,monthly_charges,total_charges,churn_label,cltv
7563-BIUPC,Borrego Springs,Male,No,No,5,Single Line,Fiber optic,Month-to-month,85.5966192909749,415.55,Yes,5715
2321-OMBXY,Carlsbad,Female,No,No,38,Single Line,DSL,One year,80.3,3058.65,Yes,2071
2840-XANRC,Del Mar,Male,Yes,No,24,Single Line,Fiber optic,Month-to-month,90.04250887120901,2231.05,Yes,2212
5020-ZSTTY,El Cajon,Female,Yes,No,54,Multiple Lines,DSL,One year,82.45,4350.1,Yes,4149
5804-LEPIM,Escondido,Female,Yes,No,2,Single Line,Fiber optic,Month-to-month,96.65158596933331,139.05,Yes,2671
0122-OAHPZ,Oceanside,Female,No,No,7,Multiple Lines,Fiber optic,Month-to-month,100.59763681050131,511.25,Yes,2473
2868-SNELZ,Pala,Female,No,No,2,Multiple Lines,Fiber optic,Month-to-month,94.61621142972795,155.8,Yes,2683
4322-RCYMT,Palomar Mountain,Male,No,No,68,Multiple Lines,DSL,One year,75.8,5293.95,Yes,4903
6680-NENYN,Pauma Valley,Female,No,No,43,Multiple Lines,Fiber optic,Two year,104.6,4759.85,Yes,5250
1343-EHPYB,Ranchita,Male,No,No,63,Multiple Lines,Fiber optic,Month-to-month,76.07297789621204,6603.0,Yes,4352
2034-GDRCN,Valley Center,Female,No,No,2,Single Line,Fiber optic,Month-to-month,92.02931619773041,168.2,Yes,4157
0219-YTZUE,San Diego,Male,No,No,4,Multiple Lines,Fiber optic,Month-to-month,97.84201263201192,371.9,Yes,4939
0623-IIHUG,San Diego,Female,Yes,No,21,No,DSL,Month-to-month,41.9,840.1,Yes,4778
4572-DVCGN,San Diego,Female,No,No,10,Single Line,Fiber optic,Month-to-month,85.50679716367436,846.0,Yes,3598
9057-MSWCO,San Diego,Male,Yes,No,27,No,DSL,Month-to-month,30.75,805.1,Yes,2927
1010-DIAUQ,San Diego,Male,No,No,5,Single Line,Fiber optic,Month-to-month,71.99118510353334,492.55,Yes,5383
0259-GBZSH,San Diego,Male,No,No,2,Multiple Lines,Fiber optic,Month-to-month,95.85026064329791,181.5,Yes,3878
9601-BRXPO,San Diego,Female,No,No,25,Multiple Lines,Fiber optic,Month-to-month,96.56123960607648,2566.5,Yes,3642
6905-NIQIN,San Diego,Male,No,No,1,Single Line,DSL,Month-to-month,50.65,50.65,Yes,2431
5167-ZFFMM,Indio,Male,No,No,1,Multiple Lines,Fiber optic,Month-to-month,82.79691507042898,90.85,Yes,3424
4895-TMWIR,Indian Wells,Male,Yes,No,11,Single Line,No,Month-to-month,19.95,214.75,Yes,5888
0533-BNWKF,Palm Desert,Female,Yes,No,55,Multiple Lines,Fiber optic,Month-to-month,80.34242861990967,4874.7,Yes,5502
6599-CEBNN,Desert Hot Springs,Female,No,No,34,Single Line,Fiber optic,Month-to-month,97.0482007868595,2524.45,Yes,5795
0979-PHULV,Holtville,Male,No,No,69,Multiple Lines,Fiber optic,Month-to-month,94.1761620187468,7007.6,Yes,4020
4800-VHZKI,Niland,Female,No,No,1,Single Line,No,Month-to-month,19.9,19.9,Yes,3351
7989-CHGTL,North Palm Springs,Male,No,No,1,Single Line,No,Month-to-month,19.6,19.6,Yes,3448
0334-GDDSO,Ocotillo,Male,Yes,No,3,Multiple Lines,Fiber optic,Month-to-month,112.53008081265669,233.7,Yes,2818
0578-SKVMF,Seeley,Female,No,No,22,Single Line,Fiber optic,Month-to-month,92.07060587367836,1845.9,Yes,3804
5564-NEMQO,Thermal,Female,Yes,No,1,Single Line,Fiber optic,Month-to-month,92.35856755728143,75.3,Yes,4902
9063-ZGTUY,Adelanto,Female,No,No,61,Single Line,No,Month-to-month,19.4,1182.55,Yes,4221
2957-LOLHO,Apple Valley,Male,No,No,12,Single Line,DSL,Month-to-month,45.4,518.9,Yes,2887
7752-XUSCI,Crestline,Female,No,No,60,Multiple Lines,Fiber optic,Month-to-month,83.7331730663829,6396.45,Yes,4105
4110-PFEUZ,Daggett,Female,No,No,1,Single Line,Fiber optic,Month-to-month,79.22758390335896,69.55,Yes,2792
0256-LTHVJ,Ludlow,Female,No,No,28,Single Line,Fiber optic,Month-to-month,92.9436383264793,2227.1,Yes,5201
0880-TKATG,Lucerne Valley,Male,No,No,4,Multiple Lines,Fiber optic,Month-to-month,91.09116619895777,385.9,Yes,4417
3811-VBYBZ,Lytle Creek,Male,No,No,7,Multiple Lines,Fiber optic,Month-to-month,74.65239890392817,673.25,Yes,2031
4640-UHDOS,Phelan,Female,No,No,13,Single Line,DSL,Month-to-month,55.95,734.35,Yes,4498
3583-EKAPL,Redlands,Male,No,No,1,Single Line,DSL,Month-to-month,55.0,55.0,Yes,4877
9399-APLBT,Rialto,Female,No,No,1,Single Line,Fiber optic,Month-to-month,84.93870088813169,74.7,Yes,5980
2359-KMGLI,Running Springs,Male,No,No,24,Multiple Lines,Fiber optic,Month-to-month,63.44819637808922,1861.5,Yes,4418
0306-JAELE,Tecopa,Male,No,No,5,Single Line,Fiber optic,Month-to-month,78.27676601580866,453.4,Yes,4192
6227-HWPWX,Victorville,Female,No,No,15,Single Line,Fiber optic,Month-to-month,101.16122374941315,994.8,Yes,5671
0447-BEMNG,Wrightwood,Female,No,No,48,No,DSL,Month-to-month,45.3,2145.0,Yes,4926
5949-XIKAE,San Bernardino,Female,No,No,8,Single Line,Fiber optic,Month-to-month,86.07554727537668,680.05,Yes,2879
8372-JUXUI,San Bernardino,Male,No,No,1,Multiple Lines,Fiber optic,Month-to-month,94.07934387484337,74.35,Yes,2814
0388-EOPEX,Riverside,Female,No,No,2,Single Line,Fiber optic,Month-to-month,87.18058213230645,139.4,Yes,4263
8205-OTCHB,Riverside,Male,No,No,22,No,DSL,One year,43.75,903.6,Yes,3099
6235-VDHOM,Riverside,Female,Yes,No,5,No,DSL,Month-to-month,28.45,131.05,Yes,4099
7783-YKGDV,March Air Reserve Base,Female,No,No,12,Multiple Lines,Fiber optic,Month-to-month,102.50437736319715,1238.45,Yes,2538
5609-CEBID,Hemet,Female,Yes,No,20,Multiple Lines,Fiber optic,Month-to-month,80.07597459940209,1782.4,Yes,2666
7218-HKQFK,Homeland,Male,No,No,2,Single Line,Fiber optic,Month-to-month,71.3357529101247,167.5,Yes,3715
4636-QRJKY,Idyllwild,Female,No,No,6,Multiple Lines,Fiber optic,Month-to-month,93.99935304026579,502.85,Yes,5032
5956-VKDTT,Moreno Valley,Female,Yes,No,5,Multiple Lines,Fiber optic,Month-to-month,87.9732692401533,334.8,Yes,5273
9412-GHEEC,Murrieta,Male,No,No,40,Multiple Lines,Fiber optic,Month-to-month,76.76315286950846,4131.95,Yes,3492
0257-ZESQC,Perris,Female,Yes,No,27,Single Line,Fiber optic,Month-to-month,92.69068901344065,1929.35,Yes,4517
6825-UYPFK,Sun City,Female,No,No,23,Multiple Lines,Fiber optic,Month-to-month,89.40822931382863,1758.6,Yes,2115
8397-MVTAZ,Sun City,Male,No,No,34,Multiple Lines,Fiber optic,Month-to-month,91.7279593098918,3480.0,Yes,2568
9282-IZGQK,Irvine,Female,No,No,1,Multiple Lines,Fiber optic,Month-to-month,75.66977449116018,85.0,Yes,5679
1342-JPNKI,Lake Forest,Male,No,No,10,Multiple Lines,Fiber optic,Month-to-month,94.35819136640056,834.1,Yes,2966
2817-NTQDO,Huntington Beach,Male,No,No,13,No,DSL,Month-to-month,45.55,597.0,Yes,4856
6986-IJDHX,Huntington Beach,Male,No,No,39,Single Line,Fiber optic,Month-to-month,97.28371285812632,3266.0,Yes,3364
5301-GAUUY,Newport Beach,Male,No,No,32,Multiple Lines,Fiber optic,Month-to-month,78.03491095161155,2596.15,Yes,5974
0939-YAPAF,Santa Ana,Female,No,No,35,Multiple Lines,Fiber optic,Month-to-month,90.07612839413493,3527.6,Yes,2744
4710-FDUIZ,Santa Ana,Male,No,No,56,Multiple Lines,Fiber optic,One year,100.3,5614.45,Yes,5170
1218-VKFPE,Anaheim,Female,No,No,12,Single Line,No,Month-to-month,19.0,233.55,Yes,3535
3627-FHKBK,Anaheim,Female,No,No,1,Single Line,Fiber optic,Month-to-month,97.6022940861512,75.3,Yes,3244
2865-TCHJW,Anaheim,Female,Yes,No,4,Multiple Lines,Fiber optic,Month-to-month,83.38516736555381,346.2,Yes,5808
5192-EBGOV,Brea,Female,Yes,No,1,Multiple Lines,Fiber optic,Month-to-month,80.5145608999277,85.7,Yes,4880
0719-SYFRB,Norco,Female,No,No,12,Multiple Lines,DSL,Month-to-month,61.65,713.75,Yes,5670
3419-SNJJD,Yorba Linda,Female,Yes,No,65,Multiple Lines,Fiber optic,Month-to-month,95.92701575257908,6786.4,Yes,4196
6543-CPZMK,Ventura,Male,No,No,9,No,DSL,Month-to-month,29.95,248.95,Yes,2573
4765-OXPPD,Ventura,Female,No,No,9,Single Line,DSL,Month-to-month,65.0,663.05,Yes,3983
1009-IRMNA,Port Hueneme,Female,No,No,7,Single Line,No,Month-to-month,20.0,137.6,Yes,4479
4554-YGZIH,Summerland,Male,Yes,No,49,Multiple Lines,Fiber optic,Month-to-month,89.1827279479228,4547.25,Yes,5059
5099-BAILX,Santa Barbara,Male,Yes,No,43,Multiple Lines,Fiber optic,Month-to-month,87.09955091787589,4687.9,Yes,2728
7207-RMRDB,Santa Barbara,Female,No,No,65,Multiple Lines,Fiber optic,Month-to-month,97.93516681862556,6985.65,Yes,5720
4913-EHYUI,Alpaugh,Male,Yes,No,56,Multiple Lines,Fiber optic,One year,104.55,5794.65,Yes,6268
0195-IESCP,Armona,Male,No,No,10,Multiple Lines,Fiber optic,Month-to-month,97.15218600548133,855.3,Yes,3573
4580-TMHJU,Avenal,Female,No,No,43,Single Line,DSL,Month-to-month,56.15,2499.3,Yes,2152
0970-ETWGE,Bodfish,Male,No,No,1,Single Line,Fiber optic,Month-to-month,91.43029118835213,89.55,Yes,4996
1626-ERCMM,Camp Nelson,Male,Yes,No,20,Multiple Lines,Fiber optic,Month-to-month,85.662376484737,1899.65,Yes,5604
0887-HJGAR,Coalinga,Male,No,No,1,Single Line,DSL,Month-to-month,45.7,45.7,Yes,2295
5644-PDMZC,Delano,Female,Yes,No,2,Multiple Lines,Fiber optic,Month-to-month,80.82186064747846,161.5,Yes,2065
9576-ANLXO,Earlimart,Female,No,No,3,Single Line,Fiber optic,Month-to-month,94.95947173742118,222.3,Yes,2876
2024-BASKD,Exeter,Female,No,No,1,Single Line,Fiber optic,Month-to-month,99.94744998392387,74.6,Yes,3860
4160-AMJTL,Fellows,Female,Yes,No,8,Single Line,No,Month-to-month,19.65,164.3,Yes,5432
4464-JCOLN,Huron,Male,No,No,2,Single Line,No,One year,19.85,35.9,Yes,2362
5650-VDUDS,Kernville,Female,No,No,4,No,DSL,Month-to-month,24.25,96.05,Yes,2038
7538-GWHML,Lemon Cove,Female,No,No,2,Single Line,Fiber optic,Month-to-month,95.34873808107996,145.15,Yes,2323
3859-CVCET,Lindsay,Female,No,No,4,Single Line,DSL,Month-to-month,45.65,191.05,Yes,2864
3276-HDUEG,Maricopa,Female,No,No,1,Multiple Lines,Fiber optic,Month-to-month,88.10315810613608,75.05,Yes,4838
0823-HSCDJ,Onyx,Male,Yes,No,52,No,DSL,Month-to-month,49.15,2550.9,Yes,5597
0822-GAVAP,Posey,Female,No,No,2,No,DSL,Month-to-month,34.7,62.25,Yes,3146
1448-PWKYE,Shafter,Male,No,No,1,Single Line,Fiber optic,Month-to-month,76.77180463187456,80.0,Yes,2046
0067-DKWBL,Tipton,Male,Yes,No,2,Single Line,DSL,Month-to-month,49.25,91.1,Yes,3475
2276-YDAVZ,Wofford Heights,Female,No,No,3,Multiple Lines,Fiber optic,Month-to-month,97.2638235291646,270.7,Yes,4965
5896-NPFWW,Visalia,Male,No,No,3,Single Line,DSL,Month-to-month,50.15,168.15,Yes,3273
7133-VBDCG,Bakersfield,Female,No,No,25,Single Line,Fiber optic,Month-to-month,85.35506760613748,2015.35,Yes,4535
1029-QFBEN,San Luis Obispo,Male,No,No,1,Single Line,No,Month-to-month,19.55,19.55,Yes,3556
4952-YSOGZ,Lompoc,Female,No,No,4,Multiple Lines,Fiber optic,Month-to-month,107.198007214259,381.3,Yes,5640
1589-AGTLK,Lompoc,Male,No,No,3,Single Line,DSL,Month-to-month,45.35,141.5,Yes,2450
5244-IRFIH,Los Alamos,Male,Yes,No,33,Multiple Lines,Fiber optic,Month-to-month,68.27737944186688,3105.55,Yes,4333
2684-EIWEO,Oceano,Female,Yes,No,30,Multiple Lines,Fiber optic,Month-to-month,78.20228590839245,2758.15,Yes,2482
6439-GTPCA,Pismo Beach,Female,No,No,45,Multiple Lines,Fiber optic,Month-to-month,109.75422451102224,3941.7,Yes,5269
5138-WVKYJ,Mojave,Male,No,No,10,Multiple Lines,Fiber optic,Month-to-month,72.75842524739909,1008.55,Yes,3658
6683-VLCTZ,Johannesburg,Male,Yes,No,20,Multiple Lines,Fiber optic,Month-to-month,79.56935715110176,1842.8,Yes,5444
2189-WWOEW,Keene,Female,No,No,15,Single Line,Fiber optic,Month-to-month,84.68424038710705,1269.55,Yes,3579
1894-IGFSG,Lancaster,Female,No,No,22,Single Line,Fiber optic,Month-to-month,108.6622656340122,1907.85,Yes,3161
7379-POKDZ,Lancaster,Male,No,No,3,Single Line,Fiber optic,Month-to-month,79.18028836209028,208.85,Yes,3038
0236-HFWSV,Palmdale,Male,No,No,15,Multiple Lines,Fiber optic,Month-to-month,84.25184950346164,1444.65,Yes,5264
3900-AQPHZ,Pearblossom,Female,No,No,1,Single Line,No,Month-to-month,19.9,19.9,Yes,4248
5842-POCOP,Randsburg,Female,No,No,5,Single Line,Fiber optic,Month-to-month,81.92095313328937,454.15,Yes,4356
2037-XJFUP,Ridgecrest,Male,No,No,33,Single Line,Fiber optic,One year,95.8,3036.75,Yes,4161
7314-OXENN,Trona,Male,No,No,2,Multiple Lines,Fiber optic,Month-to-month,78.87537835703631,184.65,Yes,3051
0322-CHQRU,Palmdale,Male,No,No,2,Single Line,DSL,Month-to-month,45.35,89.5,Yes,3478
4678-DVQEO,Bass Lake,Female,No,No,1,Single Line,DSL,Month-to-month,52.2,52.2,Yes,4138
0691-IFBQW,Biola,Female,Yes,No,46,Multiple Lines,Fiber optic,One year,110.0,4874.8,Yes,2403
3009-JWMPU,Five Points,Male,No,No,62,Multiple Lines,Fiber optic,One year,96.75,6125.4,Yes,5016
1450-GALXR,Friant,Female,No,No,10,Multiple Lines,Fiber optic,Month-to-month,66.43187995950044,1058.25,Yes,5184
3138-BKYAV,Kerman,Male,No,No,6,Single Line,Fiber optic,Month-to-month,91.5247217896372,489.45,Yes,4694
4289-DTDKW,Madera,Male,No,No,40,Multiple Lines,Fiber optic,Month-to-month,102.22394821535644,4113.1,Yes,2576
1820-TQVEV,Madera,Male,No,No,1,Single Line,Fiber optic,Month-to-month,78.11002078633533,69.55,Yes,3042
2239-JALAW,Mendota,Male,No,No,58,Multiple Lines,Fiber optic,One year,103.25,6017.65,Yes,6105
4853-RULSV,Miramonte,Male,No,No,70,Multiple Lines,Fiber optic,Two year,104.0,7250.15,Yes,4544
6275-YDUVO,Orosi,Female,No,No,2,Single Line,Fiber optic,Month-to-month,107.79165228313458,178.7,Yes,2969
0115-TFERT,Fresno,Male,No,No,21,Multiple Lines,Fiber optic,Month-to-month,102.07320404059551,2317.1,Yes,4123
2311-QYMUQ,San Joaquin,Female,No,No,16,Single Line,Fiber optic,Month-to-month,80.65694173853007,1430.25,Yes,3696
3643-AHCFP,Selma,Male,Yes,No,7,Multiple Lines,Fiber optic,Month-to-month,92.44184543635572,644.35,Yes,3265
3104-OWCGK,South Dos Palos,Male,No,No,60,Single Line,Fiber optic,One year,90.95,5453.4,Yes,4111
9101-BWFSS,Tollhouse,Female,No,No,50,Multiple Lines,Fiber optic,One year,108.55,5610.7,Yes,4274
9231-ZJYAM,Squaw Valley,Female,Yes,No,4,Single Line,Fiber optic,Month-to-month,95.39131295879629,292.8,Yes,5301
6982-SSHFK,Fresno,Male,No,No,1,Single Line,DSL,Month-to-month,44.4,44.4,Yes,3522
0727-BMPLR,Fresno,Female,Yes,No,55,Multiple Lines,Fiber optic,One year,100.0,5509.3,Yes,5679
1038-ZAGBI,Fresno,Female,No,No,12,Single Line,No,One year,19.8,229.6,Yes,2653
3027-ZTDHO,Fresno,Male,No,No,1,Single Line,Fiber optic,Month-to-month,74.79462659240349,89.9,Yes,5951
2382-BCKQJ,Big Sur,Female,No,No,62,Multiple Lines,Fiber optic,One year,100.15,6413.65,Yes,5600
2207-NHRJK,Carmel,Male,No,No,1,Single Line,DSL,Month-to-month,50.8,50.8,Yes,3718
0947-MUGVO,Jolon,Male,Yes,No,20,Single Line,Fiber optic,Month-to-month,82.31600307430239,1463.5,Yes,5849
9944-HKVVB,King City,Female,No,No,3,Single Line,Fiber optic,Month-to-month,103.9588745555991,307.4,Yes,5861
4124-MMETB,Lockwood,Male,No,No,22,Multiple Lines,Fiber optic,Month-to-month,84.27336846762006,2104.55,Yes,3665
3671-SHRSP,Marina,Male,No,No,4,Single Line,Fiber optic,Month-to-month,97.80882449678343,319.15,Yes,3080
3313-QKNKB,Pebble Beach,Male,No,No,59,Multiple Lines,Fiber optic,One year,85.55,5084.65,Yes,6304
5073-WXOYN,Belmont,Female,No,No,60,No,DSL,Month-to-month,50.8,3027.4,Yes,4941
0207-MDKNV,Daly City,Female,No,No,15,Single Line,Fiber optic,Month-to-month,83.53059033561244,1582.75,Yes,2122
9851-KIELU,Loma Mar,Male,No,No,10,Single Line,Fiber optic,Month-to-month,92.13725213611204,1043.3,Yes,5803
3908-BLSYF,Los Altos,Female,No,No,6,Single Line,Fiber optic,Month-to-month,89.29988956463684,497.55,Yes,3962
7549-MYGPK,Mountain View,Female,No,No,63,Multiple Lines,Fiber optic,Month-to-month,89.59364492995566,6215.35,Yes,5413
