newacct_no,tenure,effc_strt_date,effc_end_date,contract_month,ce_expiry,secured_revenue,bandwidth,term_reas_code,complaint_cnt,with_phone_service,churn
95539946.001.000087519,1,2018-02-05,2020-04-02,24,-4,0,1000M (FTTO),0,0,0,1
74770918.001.000049447,114,2019-09-01,2021-08-31,24,19,922,100M,0,0,1,0
94498169.002.000083734,21,2019-06-23,2021-06-22,24,16,288,100M,0,0,0,0
91816264.001.000089928,2,2018-08-31,2020-08-30,24,7,218,100M,0,0,1,0
94795101.001.000078736,26,2018-05-12,2020-11-05,24,3,160,100M (FTTO),0,0,0,0
92671429.001.000061773,88,2019-03-05,2021-04-04,25,14,200,100M,0,0,0,0
94747037.001.000078037,23,2018-06-01,2020-05-31,24,4,198,100M,0,0,0,0
95102463.001.000082555,23,2019-03-13,2021-12-09,30,19,208,100M,0,0,0,0
94307170.002.000091953,11,2018-11-23,2020-11-22,24,9,190,100M (FTTO),0,0,1,0
92652973.002.000067261,68,2019-10-16,2021-10-15,24,20,190,100M,0,0,1,0
91113654.001.000044708,113,2019-10-25,2021-10-24,24,20,220,100M,0,0,1,0
75565531.001.000022765,140,2019-06-01,2021-05-31,24,16,163,10M,0,0,0,0
94225539.001.000069919,56,2018-07-04,2020-03-07,24,5,320,10M,0,0,0,0
93983518.001.000066646,71,2019-08-26,2020-08-25,12,6,183,100M,0,0,1,0
93940245.001.000066357,55,2015-08-01,2017-07-31,24,-40,712,100M,0,0,0,1
91628669.001.000053876,102,2015-08-12,2017-11-08,24,-30,193,10M,0,0,0,1
94949914.001.000081077,29,2019-03-29,2021-03-28,24,14,145,30M,0,0,0,0
95128039.001.000082848,25,2019-03-30,2021-03-29,24,14,230,10M,0,0,0,0
95406450.001.000085926,15,2017-10-25,2020-10-24,36,8,280,100M (FTTO),0,0,0,0
90430885.001.000030425,123,2017-08-16,2020-08-15,36,6,498,1000M (FTTO),0,0,0,0
73839664.001.000014294,165,2018-09-04,2020-03-09,24,7,198,100M,0,0,1,0
91701557.001.000054281,111,2018-06-08,2020-07-06,24,4,205,100M (FTTO),0,0,1,0
94239720.002.000080589,23,2016-09-21,2018-09-20,24,-17,8356,100M,0,0,1,1
94630605.001.000076079,37,2020-01-14,2022-01-13,24,23,248,100M (FTTO),0,0,0,0
95686358.001.000089357,11,2018-06-13,2020-12-06,24,4,140,100M,0,0,0,0
95052007.001.000082090,28,2019-01-11,2021-10-01,24,11,140,100M,0,0,0,0
74396128.001.000016757,152,2019-09-20,2021-09-19,24,19,142,100M (FTTO),0,0,0,0
95047551.001.000082034,11,2019-05-08,2021-07-05,24,15,198,100M (FTTO),0,0,0,0
93944841.001.000066053,66,2015-06-10,2017-09-06,24,-32,320,100M,0,0,1,1
74780883.001.000018681,159,2019-03-21,2021-03-20,24,13,153,100M,0,0,1,0
72343270.001.000008886,177,2019-09-18,2021-09-17,24,19,187,100M,0,0,1,0
76296706.002.000042133,103,2017-11-01,2019-10-31,24,-3,163,10M,0,0,1,1
95507299.001.000087167,15,2018-06-01,2020-05-31,24,4,1100,100M,0,0,0,0
93802429.002.000077554,38,2016-02-25,2018-02-24,24,-24,1440,100M,0,0,1,0
91526418.001.000088750,10,2018-05-24,2020-05-23,24,3,680,1000M (FTTO),0,0,0,0
72297815.001.000008709,188,2019-11-01,2021-10-31,24,21,114,100M,0,0,1,0
94271749.001.000070490,42,2018-08-30,2020-08-29,24,7,163,10M,0,0,1,0
95327797.001.000085169,25,2018-07-16,2021-09-15,38,19,250,100M,0,0,0,0
96186788.001.000093775,3,2019-04-04,2021-03-04,24,14,110,100M,0,0,0,0
94003142.001.000066833,57,2019-07-01,2021-06-30,24,17,260,100M,0,0,1,0
91025445.001.000042139,120,2019-06-01,2021-05-31,24,16,349,100M,0,0,1,0
95702999.001.000089504,18,2018-07-16,2020-07-15,24,5,140,100M (FTTO),0,0,0,0
93441111.001.000061290,78,2018-02-12,2020-11-06,28,4,146,100M (FTTO),0,0,1,0
75097220.001.000092065,10,2018-11-30,2020-11-29,24,10,219,100M (FTTO),0,0,1,0
96009741.001.000092411,8,2018-12-19,2020-12-18,24,10,90,100M (FTTO),0,0,0,0
95596581.001.000088172,17,2019-03-11,2021-10-03,24,13,378,500M (FTTO),0,1,0,0
73703969.001.000013633,153,2018-03-16,2020-03-15,24,1,276,100M,0,0,1,0
94184652.001.000069304,52,2018-07-13,2020-12-07,24,5,334,100M (FTTO),0,0,1,0
90986969.002.000054272,101,2018-04-01,2020-06-30,27,5,754,10M,0,0,1,0
96080890.001.000087493,12,2018-02-06,2020-05-02,24,0,0,100M,0,0,0,0
95004156.001.000081686,32,2019-12-23,2021-12-22,24,22,186,30M,0,0,0,0
95461661.001.000086708,3,2018-04-06,2020-04-04,24,2,160,100M,0,0,0,0
95725222.001.000089680,16,2018-07-03,2020-02-07,24,5,90,100M,0,0,0,0
90777459.001.000089370,16,2018-06-19,2020-06-18,24,4,632,100M,0,0,1,0
96224878.001.000094121,2,2019-05-15,2021-05-14,24,15,90,100M (FTTO),0,0,0,0
94391463.001.000072620,37,2019-02-25,2020-02-24,12,0,178,100M,0,0,1,0
91016519.002.000091790,9,2018-11-13,2020-12-11,24,9,675,1000M (FTTO),0,0,1,0
94836814.001.000079408,33,2017-04-08,2020-07-08,40,6,108,100M,0,0,0,0
73315962.001.000011904,163,2019-07-03,2021-02-07,24,17,188,100M,0,0,0,0
95265989.001.000084273,27,2019-06-29,2021-06-28,24,17,100,100M (FTTO),0,0,0,0
94522844.001.000074410,46,2015-07-23,2017-07-22,24,-43,178,100M (FTTO),1,0,0,1
95014189.001.000081768,18,2019-08-11,2021-10-12,28,22,148,100M (FTTO),0,0,0,0
91219329.001.000046631,115,2019-10-30,2021-10-29,24,21,178,100M,0,0,1,0
71592653.001.000032211,126,2018-12-01,2020-11-30,24,10,1700,100M (FTTO),0,0,0,0
78426822.001.000052730,114,2019-04-01,2021-03-31,24,14,219,100M,0,0,0,0
94673571.002.000090014,5,2018-07-19,2020-07-18,24,5,180,100M (FTTO),0,0,0,0
95221057.001.000083832,16,2017-05-29,2019-05-28,24,-8,318,100M,0,0,0,1
92062496.001.000056105,96,2018-10-03,2020-02-10,24,8,201,10M,0,0,1,0
94277209.001.000070550,56,2018-11-01,2020-10-31,24,9,160,100M,0,0,1,0
96121694.001.000093261,10,2019-03-14,2021-03-13,24,13,228,1000M (FTTO),0,0,0,0
90424789.001.000030402,124,2019-07-27,2021-07-26,24,18,538,100M,0,0,1,0
94182177.002.000077895,22,2016-04-01,2018-03-31,24,-22,354,100M (FTTO),0,0,0,1
91273946.001.000087356,16,2020-01-23,2022-01-22,24,23,133,100M,0,0,1,0
95619268.001.000088364,5,2018-06-02,2020-01-06,24,4,743,1000M (FTTO),0,0,0,0
73154551.001.000091915,5,2018-12-04,2020-03-12,24,10,396,100M,0,0,1,0
94792710.001.000078701,32,2018-07-25,2020-07-24,24,5,1125,500M (FTTO),0,0,0,0
93784387.001.000083293,23,2017-05-05,2019-04-05,24,-9,164,100M,0,0,1,1
95736013.001.000089968,18,2018-07-11,2020-10-07,24,-1,568,1000M (FTTO),0,0,0,0
95144028.001.000083032,21,2019-03-29,2021-03-28,24,14,140,100M (FTTO),0,0,0,0
94968427.002.000081939,33,2017-06-23,2021-01-22,43,11,170,100M (FTTO),0,0,0,0
94188604.001.000069326,47,2018-06-11,2020-10-06,24,4,198,100M,0,0,0,0
96289616.001.000094703,2,2019-06-14,2021-06-13,24,16,128,100M,0,0,0,0
95094918.001.000082499,33,2017-03-13,2020-12-03,36,1,133,100M,0,0,0,0
95016580.001.000081788,22,2018-12-29,2020-12-28,24,11,160,100M,0,0,0,0
94909561.001.000080433,38,2018-10-01,2020-09-30,24,8,165,100M,0,0,0,0
93318764.001.000060749,73,2018-03-17,2020-03-16,24,1,163,100M,0,0,1,0
94244969.001.000070134,55,2018-07-24,2020-07-23,24,5,120,100M,0,0,0,0
90389958.001.000032569,110,2017-05-03,2019-02-05,24,-9,160,10M,0,0,1,1
95945937.001.000091907,9,2018-11-16,2020-11-15,24,9,140,100M,0,0,0,0
94585635.001.000078200,21,2016-04-18,2018-04-17,24,-22,748,30M,0,0,0,1
78787413.002.000056187,98,2018-06-01,2020-10-31,29,9,241,100M,0,0,1,0
90808809.002.000076282,43,2017-12-15,2019-12-14,24,-2,680,100M (FTTO),0,0,0,1
73774077.001.000013976,158,2019-12-15,2021-12-14,24,22,178,100M,0,0,1,0
93911105.001.000065463,57,2019-10-09,2021-08-10,24,20,308,100M,0,0,1,0
94848330.001.000079561,36,2018-09-28,2019-09-27,12,-4,170,100M,3,0,0,1
92098045.001.000085224,3,2018-01-15,2020-01-14,24,-1,278,100M,0,0,1,0
94545779.001.000074755,29,2015-09-15,2017-09-14,24,-29,198,100M,0,0,0,1
90945510.001.000089772,1,2018-12-04,2020-03-12,24,10,36,300M (FTTO),0,0,1,0
95235685.001.000083944,21,2019-07-31,2021-09-29,26,20,3500,100M (FTTO),0,0,0,0
93769354.001.000063391,82,2018-11-01,2020-10-31,24,9,1700,30M,0,0,1,0
71706360.001.000087362,14,2018-02-03,2020-02-02,24,0,1306,100M,0,0,1,0
94021425.002.000071926,44,2017-02-01,2019-01-31,24,-12,396,30M,0,0,1,1
94578754.001.000075184,30,2018-09-16,2020-09-15,24,7,331,100M,0,0,0,0
94266483.001.000089592,1,2018-08-24,2020-08-23,24,-4,218,100M,0,0,0,1
94975851.001.000081357,22,2018-11-22,2020-11-21,24,9,90,100M (FTTO),0,0,0,0
94613304.001.000080110,27,2018-09-12,2020-11-09,24,7,1808,100M (FTTO),0,0,0,0
73811549.001.000014146,156,2018-03-23,2020-03-22,24,1,140,100M (FTTO),0,0,1,0
91694190.001.000054245,98,2018-09-01,2020-08-31,24,7,2295,100M,0,0,1,0
94081767.001.000067926,65,2019-11-01,2021-10-31,24,21,320,100M,0,0,1,0
94877800.001.000080002,20,2018-08-16,2020-08-15,24,6,250,100M,0,0,0,0
94303849.001.000094165,1,2019-05-09,2021-08-05,24,15,178,1000M (FTTO),0,0,0,0
96135819.001.000093366,8,2019-03-29,2022-03-28,36,26,238,100M (FTTO),0,0,0,0
75566349.003.000032491,122,2019-07-01,2021-06-30,24,17,598,10M,0,0,1,0
93982692.001.000066635,53,2019-11-12,2021-11-11,24,21,288,100M (FTTO),0,0,1,0
74823287.001.000018873,160,2019-01-02,2021-01-01,24,11,198,100M,0,0,0,0
93276707.001.000060498,81,2018-03-01,2020-02-29,24,1,140,100M,0,0,1,0
75355818.001.000087909,11,2018-05-29,2020-05-28,24,4,685,10M,0,0,1,0
94063732.001.000067646,63,2019-11-25,2021-11-24,24,21,178,100M,0,0,1,0
72307788.002.000071041,43,2016-10-15,2018-10-14,24,-16,736,100M,0,0,1,1
94287653.001.000036033,103,2017-05-01,2019-04-30,24,-9,2947,10M,0,0,0,1
91166777.002.000059594,87,2017-12-05,2020-04-12,36,10,140,100M,0,0,1,0
92260330.001.000073681,33,2019-05-01,2021-04-30,24,15,304,100M (FTTO),0,0,1,0
95442976.001.000086448,25,2019-11-14,2021-11-13,24,21,547,100M (FTTO),0,0,0,0
70796198.001.000072303,57,2018-11-21,2021-11-20,36,21,2980,1000M (FTTO),0,0,0,0
77300622.002.000033790,119,2019-04-08,2021-07-04,24,14,288,100M,0,0,0,0
94774528.001.000078440,24,2018-04-28,2020-04-27,24,3,519,100M,0,0,0,0
95619193.001.000088362,17,2018-04-13,2020-12-04,24,2,118,100M (FTTO),0,0,0,0
95565834.001.000087817,2,2018-03-16,2021-03-15,36,13,140,100M (FTTO),0,0,0,0
91821553.001.000091238,14,2018-10-19,2020-10-18,24,8,310,100M (FTTO),0,0,1,0
90221466.001.000076530,41,2019-12-09,2021-08-12,24,22,208,100M (FTTO),0,0,1,0
91132969.001.000045041,98,2017-12-01,2020-03-31,28,2,178,100M,0,0,1,0
91357053.002.000060721,72,2016-03-29,2018-03-28,24,-22,212,30M,0,0,0,1
75367508.001.000061104,72,2018-06-13,2020-12-07,25,5,662,100M,0,0,1,0
76876465.001.000026559,128,2019-03-01,2021-02-28,24,13,286,30M,0,0,1,0
94473550.001.000073808,37,2019-08-05,2021-04-08,24,18,180,100M,0,0,0,0
94551421.001.000091955,3,2018-11-20,2020-11-19,24,9,646,1000M (FTTO),0,1,0,0
75947366.003.000058123,79,2019-08-28,2021-08-27,24,19,288,100M (FTTO),0,0,0,0
71662399.001.000005764,186,2018-04-11,2020-10-04,24,2,187,10M,0,0,1,0
91233932.001.000047124,96,2019-11-11,2021-10-11,24,21,202,30M,0,0,1,0
94568862.001.000075037,50,2017-10-01,2019-09-30,24,-4,2850,100M,2,0,0,1
94419355.001.000078848,41,2019-07-20,2021-07-19,24,17,200,100M (FTTO),0,0,0,0
95092581.001.000082463,17,2017-02-16,2019-02-15,24,-12,140,100M (FTTO),0,0,0,1
95545687.001.000087584,23,2018-02-08,2020-07-02,24,0,198,100M,0,0,0,0
95266011.001.000084275,9,2019-07-05,2021-04-07,24,17,178,100M,0,0,0,0
94059557.001.000079124,23,2018-12-01,2020-11-30,24,10,120,100M,0,0,1,0
91494427.001.000056736,102,2019-02-01,2021-01-31,24,12,183,30M,0,0,1,0
90392820.001.000030208,118,2019-09-25,2020-09-24,12,7,188,30M,0,0,1,0
92070135.001.000056130,92,2017-12-29,2020-06-28,30,5,268,100M,0,0,1,0
72048077.003.000087936,11,2018-04-25,2020-04-24,24,2,140,100M,0,0,1,0
95553210.001.000087665,17,2018-02-15,2020-02-14,24,0,210,100M,0,0,0,0
95145710.001.000083060,11,2017-04-12,2019-11-04,24,-10,248,100M (FTTO),0,0,0,1
94256252.001.000070290,54,2018-08-16,2020-08-15,24,6,300,100M,0,0,1,0
95017588.001.000081805,24,2018-12-16,2020-12-15,24,10,140,100M,0,0,0,0
70778998.001.000002610,199,2018-02-01,2020-01-31,24,0,100,10M,0,0,0,0
92560010.001.000058121,79,2019-11-01,2021-10-31,24,21,202,30M,0,0,1,0
93276798.001.000060500,81,2017-01-14,2020-04-13,39,2,248,100M,0,0,1,0
93491389.001.000061602,89,2018-06-09,2020-08-06,24,4,163,10M,0,0,1,0
95198982.001.000083567,20,2017-05-16,2019-05-15,24,-9,120,10M,0,0,0,1
93875037.002.000073594,43,2019-04-26,2021-04-25,24,14,141,10M,0,0,1,0
94129509.001.000068439,55,2016-02-26,2018-02-25,24,-24,145,10M,0,0,0,1
91284356.001.000048647,96,2019-12-23,2021-12-22,24,22,244,100M,0,0,1,0
95830311.001.000090936,13,2018-09-14,2020-09-13,24,7,115,100M,0,0,0,0
90238098.001.000029364,117,2019-01-29,2021-01-28,24,12,163,100M,0,0,0,0
95650990.001.000096246,2,2019-10-14,2021-10-13,24,20,737,10M,0,0,0,0
94588746.001.000075343,39,2018-05-20,2020-05-19,24,3,188,100M (FTTO),0,0,0,0
95539946.001.000092350,0,2018-12-21,2019-06-20,6,-8,2000,100M,0,0,0,1
95194155.001.000083514,13,2019-05-05,2021-04-05,24,15,200,100M,0,0,0,0
90703919.001.000058328,79,2017-08-08,2018-07-08,12,-18,2128,100M,0,0,0,1
95856993.001.000091154,0,2018-09-21,2020-09-20,24,-1,0,100M,0,0,0,0
75100388.001.000020252,142,2019-08-03,2021-02-08,24,18,231,30M,0,0,1,0
75840777.001.000024299,143,2018-12-01,2020-11-30,24,10,250,30M,0,0,0,0
95384806.001.000085708,7,2019-07-28,2021-09-27,26,20,225,100M,0,0,0,0
95880688.001.000093673,1,2019-04-25,2022-04-24,36,26,363,1000M (FTTO),0,0,0,0
90671157.002.000063498,65,2015-11-07,2017-06-11,24,-27,137,10M,0,0,0,1
91116186.001.000044807,109,2019-12-30,2021-12-29,24,23,210,10M,0,0,0,0
93127132.001.000060075,95,2020-01-18,2022-01-17,24,23,138,100M,0,0,0,0
95749925.001.000090115,13,2018-07-25,2020-07-24,24,5,90,100M,0,0,0,0
94709540.001.000084789,27,2019-09-01,2020-08-31,12,7,900,1000M (FTTO),0,0,0,0
73703159.001.000013631,161,2016-08-01,2017-07-31,12,-30,220,100M,0,0,0,1
90667809.001.000074245,53,2019-07-17,2021-07-16,24,17,596,100M,0,0,1,0
75831776.001.000024253,124,2018-11-14,2020-11-13,24,9,238,100M,0,0,1,0
92843549.001.000059196,89,2019-08-01,2021-07-31,24,18,150,100M,0,0,1,0
71722763.001.000006055,176,2016-12-12,2019-11-06,30,-8,163,100M,0,0,1,1
94519527.001.000074372,39,2019-07-19,2021-07-18,24,17,202,100M,0,0,0,0
75746057.002.000059688,96,2016-04-01,2018-03-31,24,-22,120,10M,0,0,1,0
90033044.002.000063034,71,2018-11-01,2020-10-31,24,9,200,30M,0,0,0,0
96368212.001.000095606,3,2019-08-24,2021-08-23,24,18,140,100M,0,0,0,0
90309493.001.000029794,129,2020-01-25,2022-01-24,24,23,188,100M,0,0,1,0
94741568.001.000082165,32,2019-01-27,2021-01-26,24,12,314,100M,0,0,0,0
94635448.001.000077577,32,2018-03-03,2020-02-03,24,1,1618,10M,0,0,0,0
74194390.009.000094608,2,2019-07-26,2022-07-25,36,29,1590,500M (FTTO),0,0,1,0
93000206.001.000059640,80,2019-08-23,2021-08-22,24,18,163,10M,0,0,0,0
71889521.001.000006885,191,2018-09-07,2020-06-09,24,7,608,100M,0,0,0,0
95383667.001.000085701,9,2017-10-20,2020-10-19,36,8,538,100M (FTTO),0,0,0,0
95205720.001.000083644,23,2019-06-12,2021-11-06,24,16,90,100M,0,0,0,0
94566478.001.000074964,40,2019-10-02,2021-01-10,24,20,496,100M (FTTO),0,0,0,0
94164100.001.000069012,60,2018-04-25,2020-04-24,24,2,118,100M,0,0,1,0
94510328.001.000074333,49,2019-06-07,2021-06-06,24,16,188,100M,0,0,0,0
96225032.001.000094123,8,2019-05-14,2021-05-13,24,15,90,100M (FTTO),0,0,0,0
93668994.001.000062533,87,2018-10-05,2020-04-10,24,8,138,100M,0,0,1,0
91709840.001.000054300,90,2018-09-01,2020-08-31,24,7,141,10M,0,0,1,0
74088832.001.000015331,168,2018-12-17,2020-12-16,24,10,210,100M,0,0,1,0
90993858.001.000059604,76,2019-09-01,2021-08-31,24,19,358,100M,0,0,1,0
73811598.001.000092512,1,2019-02-22,2021-02-21,24,12,102,100M,0,0,1,0
90942368.001.000072945,50,2019-03-27,2021-03-26,24,14,323,100M,0,1,1,0
91665505.001.000054113,100,2018-05-17,2020-05-16,24,3,120,10M,0,0,0,0
90612219.001.000032379,113,2017-04-06,2019-05-04,24,-10,213,10M,0,0,1,1
95517678.001.000087277,0,2018-01-23,2020-01-22,24,-16,0,10M,0,0,0,1
71853485.001.000006670,180,2019-12-24,2021-12-23,24,22,540,10M,0,0,1,0
93748523.001.000063143,83,2018-11-01,2020-10-31,24,9,160,100M,0,0,1,0
96044045.001.000092653,9,2019-01-16,2021-01-15,24,11,233,1000M (FTTO),0,0,0,0
73909608.001.000014607,168,2016-01-20,2020-01-19,48,-1,302,30M,0,0,1,0
94785508.001.000078582,30,2016-05-03,2018-02-05,24,-30,220,300M (FTTO),0,0,0,1
95626974.001.000088476,12,2018-04-21,2020-04-20,24,2,128,100M (FTTO),0,0,0,0
94788510.001.000078646,31,2018-05-26,2020-05-25,24,3,358,100M (FTTO),0,0,0,0
94673548.001.000076794,30,2019-11-21,2021-11-20,24,21,288,100M,0,0,0,0
94407186.001.000072924,48,2019-03-17,2021-03-16,24,13,987,100M,0,0,0,0
94724465.001.000077664,44,2018-10-05,2022-03-04,42,26,158,100M,0,0,0,0
73382244.001.000012157,170,2018-06-01,2020-05-31,24,4,250,10M,0,0,0,0
96191952.001.000093838,4,2019-04-26,2022-04-25,36,26,1680,1000M (FTTO),0,0,0,0
93332690.001.000060801,90,2018-03-24,2020-03-23,24,1,319,100M (FTTO),0,0,0,0
93506681.001.000061633,68,2018-09-01,2020-08-31,24,7,138,10M,0,0,1,0
94383478.001.000072738,57,2019-01-27,2021-02-26,25,13,874,100M,0,0,0,0
75495440.001.000077702,23,2018-03-11,2020-10-03,24,1,1000,30M,0,0,1,0
95387528.001.000085720,16,2017-09-21,2019-09-20,24,-5,145,100M,0,0,0,1
95493177.001.000087077,12,2018-01-02,2020-01-01,24,-1,158,100M,0,0,0,0
74297334.001.000083837,25,2019-06-07,2021-06-06,24,16,19399,1000M (FTTO),0,0,0,0
91138214.001.000080448,22,2018-09-09,2020-08-09,24,7,1729,100M,0,0,0,0
90512179.001.000031058,120,2018-12-09,2020-08-12,24,10,140,100M,0,0,1,0
91581553.001.000053187,91,2018-06-01,2020-05-31,24,4,178,10M,0,0,0,0
75916957.001.000087892,1,2018-03-14,2020-03-13,24,1,408,100M,0,0,1,0
78422813.002.000069345,57,2018-04-12,2020-11-04,24,2,160,100M,0,0,0,0
94927654.001.000085750,26,2017-09-25,2019-09-24,24,-5,898,100M (FTTO),0,0,0,0
75700047.003.000033149,121,2018-12-01,2020-11-30,24,10,169,10M,0,0,0,0
95896965.001.000091467,0,2018-10-25,2020-10-24,24,-1,0,500M (FTTO),0,0,0,1
95798518.001.000090603,9,2018-08-21,2020-08-20,24,6,140,100M,0,0,0,0
73896565.001.000014556,169,2019-02-15,2021-02-14,24,12,198,500M (FTTO),0,0,1,0
92944578.001.000060365,93,2018-11-21,2022-03-20,40,25,148,100M,0,0,1,0
95142550.001.000083013,32,2019-04-11,2021-10-04,24,14,100,100M,0,0,0,0
75914879.001.000024658,139,2019-09-04,2022-03-03,30,25,122,10M,0,0,0,0
95185674.001.000083454,13,2019-11-24,2021-11-23,24,21,148,100M (FTTO),0,0,0,0
76081116.001.000025505,133,2019-08-14,2021-08-13,24,18,150,30M,0,0,0,0
95698742.001.000089456,17,2018-06-15,2020-06-14,24,4,90,100M,0,0,0,0
94552205.001.000074836,29,2015-10-19,2017-10-18,24,-28,461,100M,0,0,0,1
90438995.001.000030458,109,2018-09-01,2021-02-28,30,13,250,100M,0,0,0,0
96056486.001.000092738,11,2019-01-11,2021-10-01,24,11,90,100M,0,0,0,0
95328829.001.000085195,18,2017-09-14,2019-09-13,24,-5,158,100M,0,0,0,1
91488387.001.000052247,113,2018-02-27,2020-03-26,25,2,140,100M,0,0,0,0
95833778.001.000090977,5,2018-12-27,2020-12-26,24,11,180,100M,0,0,0,0
94227279.001.000069926,56,2014-06-30,2016-06-29,24,-43,150,10M,0,0,0,0
93982262.001.000066628,73,2019-08-26,2021-08-25,24,18,190,100M,0,0,1,0
74526443.001.000019903,157,2018-08-13,2020-12-08,24,6,140,100M,0,0,1,0
95631586.001.000088530,3,2018-06-25,2020-06-24,24,4,118,100M,0,0,0,0
73704090.001.000013637,170,2019-09-15,2021-09-14,24,19,128,100M,0,0,1,0
94709581.001.000077797,41,2018-03-27,2020-03-26,24,2,318,100M,0,0,0,0
95128062.001.000082859,10,2017-03-22,2019-03-21,24,-11,140,100M,0,0,0,1
93493351.001.000061580,80,2018-07-01,2020-06-30,24,5,168,100M,0,0,1,0
96359682.001.000095515,1,2019-08-14,2021-08-13,24,18,0,100M,0,0,0,0
96301221.001.000094888,5,2019-07-08,2021-07-07,24,17,95,100M,0,0,0,0
94731874.001.000077773,32,2016-03-14,2018-03-13,24,-23,200,100M,0,0,0,1
94897485.001.000091734,9,2019-03-01,2021-02-28,24,13,656,100M,0,0,0,0
76041219.001.000069522,65,2018-06-01,2020-05-31,24,4,140,100M,0,0,0,0
76721620.001.000026248,119,2018-12-24,2020-12-23,24,10,319,100M,0,0,0,0
71273452.001.000004458,187,2016-10-20,2018-10-19,24,-16,185,10M,0,1,0,1
95561635.001.000087764,8,2018-02-22,2020-02-21,24,0,90,100M,0,0,0,0
91461509.001.000061299,66,2018-07-28,2020-07-27,24,6,217,100M,0,0,1,0
