initial_list_status,purpose,int_rate,installment,annual_inc,dti,verification_status,grade,revol_bal,inq_last_12m,delinq_2yrs,home_ownership,log_inc,verified,grdCtoA,not_paid
w,debt_consolidation,10.42,472.0,82000.0,22.22,Verified,B,6602,1,0,RENT,11.3144745262464,1,1,0
f,home_improvement,9.44,672.11,65000.0,7.55,Source Verified,B,1329,3,2,MORTGAGE,11.082142548877801,1,1,0
w,home_improvement,19.03,183.36,82000.0,32.04,Source Verified,D,25271,2,2,MORTGAGE,11.3144745262464,1,0,1
w,debt_consolidation,9.44,672.11,65000.0,22.3,Not Verified,B,25183,1,2,MORTGAGE,11.082142548877801,0,1,1
w,debt_consolidation,25.82,775.69,90000.0,22.92,Verified,E,23385,3,2,MORTGAGE,11.4075649493124,1,0,1
w,debt_consolidation,15.05,97.14,15000.0,8.8,Source Verified,C,2337,1,2,RENT,9.61580548008435,1,0,0
w,debt_consolidation,13.59,924.23,64000.0,18.64,Source Verified,C,6660,2,0,RENT,11.0666383623418,1,0,1
w,credit_card,12.62,201.07,15000.0,26.96,Not Verified,C,8268,0,0,RENT,9.61580548008435,0,0,1
f,debt_consolidation,29.69,914.25,120000.0,10.14,Verified,F,11689,7,0,RENT,11.6952470217642,1,0,1
f,home_improvement,12.62,180.97,82000.0,12.79,Source Verified,C,8726,7,0,MORTGAGE,11.3144745262464,1,0,1
w,debt_consolidation,9.93,128.94,42000.0,1.03,Not Verified,B,1752,2,1,RENT,10.6454248972655,0,1,1
w,debt_consolidation,18.06,1157.85,198000.0,2.29,Verified,D,20647,3,0,RENT,12.1960223096767,1,0,1
w,credit_card,7.35,155.19,56000.0,4.41,Not Verified,A,2734,1,0,MORTGAGE,10.9331069697173,0,1,0
f,debt_consolidation,18.06,542.74,75000.0,8.64,Source Verified,D,42,6,2,OWN,11.2252433925184,1,0,1
f,debt_consolidation,12.62,46.92,31665.71,0.45,Verified,C,12,8,0,RENT,10.362989670931901,1,0,0
w,debt_consolidation,13.59,806.97,45000.0,22.13,Source Verified,C,7288,1,1,MORTGAGE,10.714417768752499,1,0,1
f,debt_consolidation,10.91,199.45,18000.0,12.51,Source Verified,B,5883,1,0,RENT,9.7981270368783,1,1,0
w,home_improvement,28.72,315.72,43350.0,25.89,Verified,F,3002,4,0,MORTGAGE,10.677061982208699,1,0,1
w,debt_consolidation,14.08,684.33,100000.0,18.58,Source Verified,C,25669,0,1,MORTGAGE,11.5129254649702,1,0,1
w,credit_card,7.97,469.84,60000.0,19.2,Not Verified,A,25011,2,0,MORTGAGE,11.002099841204199,0,1,0
w,debt_consolidation,15.05,346.9,95000.0,13.68,Verified,C,12568,6,0,OWN,11.4616321705827,1,0,0
f,debt_consolidation,17.09,160.64,60000.0,10.26,Source Verified,D,16483,0,0,RENT,11.002099841204199,1,0,1
w,debt_consolidation,11.99,498.15,52000.0,17.1,Not Verified,B,7605,8,0,MORTGAGE,10.858998997563601,0,1,0
w,debt_consolidation,15.05,476.33,48000.0,38.4,Not Verified,C,8101,0,0,MORTGAGE,10.778956289889999,0,0,1
w,credit_card,19.03,73.35,30000.0,23.48,Source Verified,D,2106,2,0,RENT,10.308952660644302,1,0,0
w,credit_card,13.59,203.88,60000.0,24.36,Verified,C,7597,5,0,RENT,11.002099841204199,1,0,1
f,debt_consolidation,10.91,326.97,36000.0,18.8,Source Verified,B,3080,0,1,RENT,10.4912742174382,1,1,1
w,debt_consolidation,16.02,486.58,55000.0,7.53,Verified,C,2680,2,0,MORTGAGE,10.9150884642146,1,0,1
w,credit_card,10.42,155.84,48000.0,16.6,Not Verified,B,35682,0,0,MORTGAGE,10.778956289889999,0,1,1
w,debt_consolidation,6.08,1218.33,105000.0,1.9,Not Verified,A,7025,2,0,MORTGAGE,11.5617156291397,0,1,1
w,debt_consolidation,9.93,464.18,75000.0,14.8,Source Verified,B,25068,0,1,OWN,11.2252433925184,1,1,1
w,home_improvement,11.99,149.45,88282.0,8.37,Source Verified,B,5604,4,0,MORTGAGE,11.3882915153021,1,1,0
f,debt_consolidation,12.62,804.27,95000.0,24.82,Not Verified,C,2477,6,0,RENT,11.4616321705827,0,0,0
w,home_improvement,6.08,304.59,42000.0,30.84,Source Verified,A,9448,0,0,MORTGAGE,10.6454248972655,1,1,0
w,debt_consolidation,9.93,354.58,75000.0,1.52,Verified,B,2903,0,4,MORTGAGE,11.2252433925184,1,1,1
w,debt_consolidation,16.02,218.92,39580.0,37.86,Verified,C,3374,4,0,MORTGAGE,10.586079219156598,1,0,0
w,debt_consolidation,22.91,38.67,55000.0,35.71,Source Verified,E,11673,2,3,OWN,10.9150884642146,1,0,0
w,debt_consolidation,18.06,330.54,98000.0,7.07,Source Verified,D,2802,0,0,RENT,11.4927227576527,1,0,1
w,debt_consolidation,10.91,326.97,50000.0,18.72,Not Verified,B,6511,3,0,RENT,10.819778284410301,0,1,0
w,debt_consolidation,11.99,996.29,146000.0,4.35,Not Verified,B,9340,2,0,RENT,11.891361900690502,0,1,0
f,credit_card,9.44,320.05,85000.0,22.15,Not Verified,B,10413,3,0,RENT,11.3504065354725,0,1,0
w,major_purchase,19.03,363.4,50000.0,33.03,Not Verified,D,2075,1,0,RENT,10.819778284410301,0,0,1
w,debt_consolidation,16.02,351.67,95000.0,31.91,Not Verified,C,18258,0,0,MORTGAGE,11.4616321705827,0,0,0
f,debt_consolidation,9.93,154.73,70000.0,21.43,Verified,B,225,0,0,RENT,11.156250521031499,1,1,0
w,credit_card,14.08,839.16,150000.0,27.03,Verified,C,35581,0,0,MORTGAGE,11.918390573078401,1,0,1
w,credit_card,11.99,332.1,104000.0,15.01,Source Verified,B,13034,3,0,MORTGAGE,11.5521461781235,1,1,1
w,credit_card,11.99,166.05,27000.0,37.42,Not Verified,B,11290,1,0,OWN,10.2035921449865,0,1,1
w,debt_consolidation,15.05,520.35,65000.0,11.91,Not Verified,C,14102,0,1,RENT,11.082142548877801,0,0,0
f,debt_consolidation,11.99,166.05,31020.0,20.7,Verified,B,7230,0,0,RENT,10.342387436730501,1,1,0
w,credit_card,13.59,254.85,40000.0,25.8,Verified,C,13300,1,0,MORTGAGE,10.5966347330961,1,0,0
w,credit_card,11.99,830.24,190000.0,14.06,Not Verified,B,43830,1,0,OWN,12.154779351142599,0,1,1
w,credit_card,11.99,249.09,99000.0,26.68,Source Verified,B,15471,1,0,MORTGAGE,11.502875129116699,1,1,0
w,home_improvement,14.08,205.3,180000.0,17.1,Source Verified,C,85294,2,0,MORTGAGE,12.100712129872301,1,0,0
w,debt_consolidation,7.97,313.23,75000.0,7.74,Not Verified,A,12649,1,2,MORTGAGE,11.2252433925184,0,1,0
w,debt_consolidation,25.82,761.52,70891.0,25.34,Source Verified,E,11340,5,0,MORTGAGE,11.168898765111498,1,0,1
w,credit_card,10.42,162.33,68500.0,12.58,Not Verified,B,6066,2,3,RENT,11.1345890242503,0,1,0
w,credit_card,10.91,457.75,65000.0,14.99,Source Verified,B,11011,0,0,RENT,11.082142548877801,1,1,1
f,credit_card,20.0,178.39,38000.0,13.74,Not Verified,D,2603,8,0,RENT,10.5453414387085,0,0,0
w,debt_consolidation,21.45,546.15,62000.0,33.47,Not Verified,D,38746,0,0,RENT,11.0348896640272,0,0,1
w,debt_consolidation,20.0,264.94,31729.0,15.47,Source Verified,D,4221,1,0,OWN,10.3649863681651,1,0,1
w,credit_card,14.08,188.2,41919.0,48.91,Verified,C,3910,3,0,RENT,10.643494463748599,1,0,0
w,debt_consolidation,24.85,877.91,30000.0,37.52,Source Verified,E,13242,2,0,RENT,10.308952660644302,1,0,0
w,home_improvement,14.08,559.44,36000.0,8.8,Source Verified,C,25,0,0,RENT,10.4912742174382,1,0,1
w,debt_consolidation,14.08,261.07,57000.0,26.32,Not Verified,C,11152,2,0,MORTGAGE,10.950806546816699,0,0,0
w,debt_consolidation,6.08,365.5,95000.0,30.04,Not Verified,A,13562,2,0,MORTGAGE,11.4616321705827,0,1,0
w,credit_card,10.42,162.33,66000.0,21.4,Not Verified,B,3376,0,0,RENT,11.0974100210086,0,1,0
w,home_improvement,11.99,1328.39,188000.0,7.83,Source Verified,B,2102,6,0,MORTGAGE,12.144197241812101,1,1,0
f,credit_card,13.59,489.3,40000.0,27.42,Not Verified,C,13251,3,0,RENT,10.5966347330961,0,0,1
w,debt_consolidation,7.97,1096.29,135000.0,3.92,Source Verified,A,8159,2,0,RENT,11.8130300574206,1,1,0
f,debt_consolidation,21.45,382.3,70000.0,10.94,Not Verified,D,13348,0,0,RENT,11.156250521031499,0,0,0
w,home_improvement,10.42,321.82,49800.0,2.46,Source Verified,B,7316,2,0,MORTGAGE,10.8157702630127,1,1,0
w,debt_consolidation,13.59,217.47,37000.0,15.08,Not Verified,C,3338,3,0,RENT,10.518673191626402,0,0,0
f,debt_consolidation,13.59,407.75,59075.0,11.31,Not Verified,C,4549,11,2,RENT,10.986563102055099,0,0,0
w,credit_card,9.44,307.25,45000.0,19.24,Source Verified,B,10122,0,0,RENT,10.714417768752499,1,1,1
f,debt_consolidation,19.03,660.09,50000.0,11.45,Verified,D,4317,0,0,RENT,10.819778284410301,1,0,1
w,credit_card,10.42,311.67,26000.0,32.66,Verified,B,7723,2,0,RENT,10.165851817003599,1,1,0
w,debt_consolidation,17.09,448.22,90000.0,17.09,Source Verified,D,12781,1,0,RENT,11.4075649493124,1,0,1
w,debt_consolidation,14.08,492.72,73000.0,16.54,Source Verified,C,9139,2,0,RENT,11.198214720130501,1,0,1
f,credit_card,26.3,302.37,22000.0,8.4,Verified,E,4190,1,0,OWN,9.99879773234045,1,0,0
w,debt_consolidation,10.91,719.32,145000.0,15.96,Not Verified,B,42784,0,0,RENT,11.8844890214027,0,1,1
w,debt_consolidation,13.59,101.94,44000.0,12.6,Not Verified,C,8869,1,0,RENT,10.6919449129004,0,0,0
w,home_improvement,28.72,659.85,55000.0,5.13,Verified,F,7335,4,0,RENT,10.9150884642146,1,0,1
w,credit_card,6.72,147.6,140000.0,3.0,Not Verified,A,2887,0,0,RENT,11.849397701591402,0,1,0
f,debt_consolidation,9.44,1280.2,104000.0,0.61,Not Verified,B,183,0,0,RENT,11.5521461781235,0,1,0
w,debt_consolidation,25.82,895.02,150000.0,8.7,Source Verified,E,25556,0,0,RENT,11.918390573078401,1,0,0
f,credit_card,9.44,384.06,60000.0,21.14,Source Verified,B,11851,1,0,RENT,11.002099841204199,1,1,1
w,debt_consolidation,10.42,486.98,70000.0,15.49,Verified,B,11713,2,0,MORTGAGE,11.156250521031499,1,1,1
w,small_business,20.0,111.5,30000.0,7.96,Verified,D,6922,0,0,RENT,10.308952660644302,1,0,1
f,debt_consolidation,14.08,325.06,75000.0,28.54,Not Verified,C,7529,6,0,RENT,11.2252433925184,0,0,0
f,debt_consolidation,11.99,830.24,35000.0,17.94,Not Verified,B,21042,1,0,RENT,10.4631033404715,0,1,0
w,debt_consolidation,7.97,626.46,47000.0,9.01,Verified,A,1278,0,0,OWN,10.757902880692198,1,1,1
f,major_purchase,16.02,175.84,138000.0,2.16,Source Verified,C,10,3,0,RENT,11.835008964139302,1,0,1
w,debt_consolidation,23.88,803.56,70200.0,25.49,Not Verified,E,7836,8,0,RENT,11.159103590013899,0,0,1
w,debt_consolidation,25.82,298.34,65000.0,26.45,Source Verified,E,2993,3,0,MORTGAGE,11.082142548877801,1,0,0
w,home_improvement,7.35,183.9,63400.0,1.04,Not Verified,A,1824,0,0,MORTGAGE,11.0572191404253,0,1,0
w,home_improvement,12.62,225.6,40000.0,17.16,Not Verified,C,2682,1,0,MORTGAGE,10.5966347330961,0,0,1
w,debt_consolidation,9.44,335.57,58000.0,10.51,Verified,B,1145,3,0,MORTGAGE,10.9681982895286,1,1,1
w,debt_consolidation,20.0,927.29,95000.0,16.42,Not Verified,D,15719,1,0,MORTGAGE,11.4616321705827,0,0,0
f,debt_consolidation,9.44,320.05,17976.0,7.81,Not Verified,B,1438,1,1,OWN,9.79679281386517,0,1,1
f,debt_consolidation,16.02,147.71,22000.0,15.38,Verified,C,256,2,0,MORTGAGE,9.99879773234045,1,0,0
f,debt_consolidation,9.93,1289.38,126000.0,18.33,Source Verified,B,53195,1,0,RENT,11.7440371859336,1,1,0
f,debt_consolidation,30.79,525.45,17004.0,24.91,Verified,G,14672,1,2,MORTGAGE,9.74120388947868,1,0,0
w,debt_consolidation,21.45,955.75,80000.0,16.2,Source Verified,D,31315,1,0,RENT,11.289781913656,1,0,0
w,debt_consolidation,7.21,216.82,130000.0,5.46,Not Verified,A,15181,2,1,OWN,11.775289729437699,0,1,0
w,major_purchase,11.99,418.45,30000.0,4.28,Verified,B,3506,0,0,MORTGAGE,10.308952660644302,1,1,1
w,debt_consolidation,21.45,303.26,48000.0,20.6,Source Verified,D,4633,2,1,RENT,10.778956289889999,1,0,1
f,credit_card,16.02,486.58,85000.0,10.56,Not Verified,C,20873,0,0,MORTGAGE,11.3504065354725,0,0,1
w,debt_consolidation,21.45,327.69,50000.0,17.47,Not Verified,D,4350,1,0,RENT,10.819778284410301,0,0,0
f,debt_consolidation,14.08,273.74,48300.0,18.42,Not Verified,C,13995,2,0,RENT,10.785186839640698,0,0,0
w,debt_consolidation,25.82,358.01,38400.0,22.41,Source Verified,E,1974,2,0,RENT,10.555812738575801,1,0,1
w,credit_card,9.93,128.94,80000.0,5.74,Not Verified,B,2897,7,2,MORTGAGE,11.289781913656,0,1,0
f,debt_consolidation,18.06,217.1,35064.0,17.76,Not Verified,D,6255,1,0,MORTGAGE,10.4649302420986,0,0,1
w,debt_consolidation,7.97,87.71,93000.0,18.79,Not Verified,A,669,8,0,MORTGAGE,11.4403547721354,0,1,0
w,home_improvement,15.05,520.35,55000.0,4.3,Verified,C,3071,3,0,OWN,10.9150884642146,1,0,1
f,credit_card,9.44,640.1,82000.0,13.07,Source Verified,B,22580,0,0,RENT,11.3144745262464,1,1,0
w,debt_consolidation,17.09,498.02,65000.0,14.29,Verified,D,9399,4,1,RENT,11.082142548877801,1,0,0
w,debt_consolidation,14.08,290.85,55000.0,21.78,Verified,C,10938,5,0,RENT,10.9150884642146,1,0,0
w,home_improvement,9.44,838.91,97400.0,12.64,Source Verified,B,2372,1,0,MORTGAGE,11.486581489630598,1,1,1
w,debt_consolidation,15.05,428.7,85000.0,18.35,Verified,C,13054,2,0,MORTGAGE,11.3504065354725,1,0,0
w,debt_consolidation,16.02,496.31,62000.0,23.21,Not Verified,C,6009,4,0,OWN,11.0348896640272,0,0,0
w,home_improvement,14.08,855.42,74000.0,26.18,Verified,C,5501,16,0,MORTGAGE,11.2118203721863,1,0,1
w,debt_consolidation,14.08,171.09,54000.0,22.2,Verified,C,18036,1,0,OWN,10.8967393255464,1,0,1
w,debt_consolidation,9.93,45.13,20000.0,2.88,Source Verified,B,2398,0,0,RENT,9.90348755253613,1,1,0
w,debt_consolidation,19.03,539.26,56500.0,18.61,Not Verified,D,22745,0,0,MORTGAGE,10.9419959171345,0,0,0
w,credit_card,9.44,460.88,19000.0,0.0,Verified,B,0,0,0,OWN,9.852194258148579,1,1,0
w,credit_card,10.42,211.03,52000.0,5.96,Source Verified,B,5927,1,0,RENT,10.858998997563601,1,1,1
w,debt_consolidation,9.44,957.75,210000.0,28.37,Verified,B,28026,3,0,MORTGAGE,12.254862809699599,1,1,0
f,credit_card,11.99,179.34,115000.0,13.76,Source Verified,B,3539,8,1,MORTGAGE,11.6526874073454,1,1,0
w,credit_card,19.03,674.89,80000.0,15.18,Source Verified,D,2382,2,0,RENT,11.289781913656,1,0,1
w,debt_consolidation,7.97,250.59,60000.0,36.52,Source Verified,A,10322,4,0,MORTGAGE,11.002099841204199,1,1,1
w,debt_consolidation,12.62,541.42,58000.0,9.27,Source Verified,C,3,0,0,RENT,10.9681982895286,1,0,1
f,debt_consolidation,15.05,867.25,98000.0,15.75,Not Verified,C,20463,3,0,MORTGAGE,11.4927227576527,0,0,0
f,debt_consolidation,20.0,185.82,41600.0,26.51,Source Verified,D,14386,1,0,MORTGAGE,10.6358554462494,1,0,1
w,credit_card,16.02,973.15,85000.0,10.81,Verified,C,32918,2,0,MORTGAGE,11.3504065354725,1,0,0
w,credit_card,7.97,150.35,31500.0,6.11,Not Verified,A,6563,1,0,RENT,10.3577428248137,0,1,0
w,debt_consolidation,15.05,346.9,32000.0,25.81,Not Verified,C,8476,0,0,MORTGAGE,10.3734911817819,0,0,1
f,debt_consolidation,9.93,161.18,70000.0,14.56,Not Verified,B,21658,3,0,RENT,11.156250521031499,0,1,0
w,credit_card,9.93,161.18,146707.0,6.9,Source Verified,B,923,5,0,MORTGAGE,11.8961926794208,1,1,0
w,debt_consolidation,15.05,832.56,95000.0,6.8,Source Verified,C,18699,0,1,MORTGAGE,11.4616321705827,1,0,0
w,credit_card,9.44,240.04,44000.0,17.54,Not Verified,B,4235,1,0,MORTGAGE,10.6919449129004,0,1,0
f,credit_card,12.62,1005.34,85000.0,12.77,Source Verified,C,36942,2,0,MORTGAGE,11.3504065354725,1,0,0
w,home_improvement,13.59,332.01,300000.0,13.25,Source Verified,C,19491,7,0,MORTGAGE,12.6115377536383,1,0,0
w,major_purchase,15.05,476.33,109992.0,10.0,Not Verified,C,2284,3,0,MORTGAGE,11.608162914857099,0,0,0
w,debt_consolidation,20.0,445.97,38000.0,10.93,Source Verified,D,13400,2,0,RENT,10.5453414387085,1,0,0
w,debt_consolidation,10.42,259.72,40000.0,24.51,Source Verified,B,4620,0,0,MORTGAGE,10.5966347330961,1,1,1
w,debt_consolidation,7.35,682.83,76000.0,23.69,Verified,A,44655,1,0,MORTGAGE,11.238488619268502,1,1,1
w,debt_consolidation,9.93,644.69,73000.0,20.91,Source Verified,B,20170,0,0,RENT,11.198214720130501,1,1,0
f,credit_card,9.44,320.05,132000.0,8.61,Not Verified,B,10366,2,0,RENT,11.7905572015685,0,1,1
w,debt_consolidation,20.0,423.91,50000.0,18.29,Verified,D,13434,12,0,MORTGAGE,10.819778284410301,1,0,1
w,debt_consolidation,23.88,636.39,65000.0,32.92,Not Verified,E,12043,6,0,MORTGAGE,11.082142548877801,0,0,0
w,debt_consolidation,7.35,93.12,69800.0,16.9,Not Verified,A,3913,2,0,RENT,11.153389288750502,0,1,0
w,debt_consolidation,7.97,375.88,600000.0,8.72,Verified,A,228292,4,1,MORTGAGE,13.304684934198301,1,1,0
w,credit_card,6.72,461.24,65000.0,17.89,Not Verified,A,12534,1,0,MORTGAGE,11.082142548877801,0,1,0
w,credit_card,5.32,1084.14,750000.0,6.06,Verified,A,10084,14,0,MORTGAGE,13.527828485512499,1,1,0
w,debt_consolidation,10.91,326.97,48000.0,12.05,Not Verified,B,4244,1,0,MORTGAGE,10.778956289889999,0,1,1
w,debt_consolidation,15.05,693.8,85000.0,13.3,Verified,C,5462,3,0,MORTGAGE,11.3504065354725,1,0,1
w,debt_consolidation,15.05,357.25,41000.0,40.07,Not Verified,C,8590,4,1,OWN,10.6213273456864,0,0,0
w,debt_consolidation,16.02,105.51,53000.0,28.22,Verified,C,8478,3,0,RENT,10.878047192534302,1,0,1
w,credit_card,12.62,541.42,90000.0,10.67,Not Verified,C,21203,1,0,MORTGAGE,11.4075649493124,0,0,1
w,debt_consolidation,16.02,364.94,69000.0,34.42,Not Verified,C,16467,1,0,MORTGAGE,11.1418617835794,0,0,0
w,credit_card,11.99,222.4,54000.0,3.98,Source Verified,B,7895,2,1,MORTGAGE,10.8967393255464,1,1,0
w,debt_consolidation,17.09,662.19,42200.0,12.63,Verified,D,6682,1,0,MORTGAGE,10.6501755000241,1,0,0
w,debt_consolidation,12.62,73.73,18000.0,21.53,Verified,C,6766,2,0,RENT,9.7981270368783,1,0,1
w,credit_card,9.44,960.15,180000.0,33.1,Source Verified,B,11216,2,0,MORTGAGE,12.100712129872301,1,1,1
w,debt_consolidation,10.91,261.57,75000.0,25.02,Not Verified,B,6808,3,0,RENT,11.2252433925184,0,1,0
w,debt_consolidation,7.97,494.12,52000.0,38.59,Source Verified,A,7640,0,0,RENT,10.858998997563601,1,1,1
w,debt_consolidation,11.99,531.36,190000.0,11.1,Source Verified,B,22606,1,7,MORTGAGE,12.154779351142599,1,1,1
f,credit_card,26.3,111.24,30000.0,36.52,Verified,E,19869,1,0,OWN,10.308952660644302,1,0,1
w,debt_consolidation,5.32,752.87,118000.0,17.52,Source Verified,A,10044,0,0,MORTGAGE,11.6784399034478,1,1,0
f,credit_card,14.08,342.17,43000.0,12.57,Source Verified,C,10771,0,0,RENT,10.668955394675699,1,0,0
w,credit_card,7.97,469.84,65000.0,10.76,Source Verified,A,12054,2,0,MORTGAGE,11.082142548877801,1,1,0
f,debt_consolidation,17.09,178.49,43000.0,11.08,Not Verified,D,6094,0,0,MORTGAGE,10.668955394675699,0,0,0
w,debt_consolidation,16.02,527.51,39000.0,33.29,Verified,C,16427,2,0,RENT,10.5713169251118,1,0,0
w,debt_consolidation,24.85,386.28,114000.0,18.6,Source Verified,E,55881,2,0,MORTGAGE,11.6439537273766,1,0,0
w,credit_card,19.03,293.37,66000.0,15.82,Source Verified,D,31377,0,1,RENT,11.0974100210086,1,0,1
w,debt_consolidation,10.91,343.31,100000.0,9.02,Not Verified,B,19569,0,0,RENT,11.5129254649702,0,1,0
w,debt_consolidation,13.59,339.79,95000.0,10.46,Not Verified,C,5940,0,3,RENT,11.4616321705827,0,0,1
w,debt_consolidation,7.21,154.87,69600.0,8.29,Not Verified,A,4495,5,0,MORTGAGE,11.150519846322501,0,1,0
f,debt_consolidation,14.08,342.17,40000.0,10.92,Source Verified,C,4541,1,0,MORTGAGE,10.5966347330961,1,0,1
w,debt_consolidation,15.05,777.06,130000.0,29.65,Verified,C,30210,10,0,MORTGAGE,11.775289729437699,1,0,0
f,debt_consolidation,10.91,1307.85,87000.0,12.26,Not Verified,B,45079,2,1,OWN,11.3736633976367,0,1,0
w,debt_consolidation,25.82,835.36,57000.0,22.06,Verified,E,3263,1,0,RENT,10.950806546816699,1,0,0
w,debt_consolidation,18.06,635.66,79000.0,33.16,Not Verified,D,22290,0,0,RENT,11.277203131449198,0,0,0
w,debt_consolidation,11.99,99.63,18000.0,17.0,Source Verified,B,5473,1,0,MORTGAGE,9.7981270368783,1,1,0
